Name,Age,Location,Device Usage Log,Voice Command,Security Footage Description,Home Automation Setting,Network Information,Customer Service Interaction
Makayla Mack,40,"South Tiffanyton, Heard Island and McDonald Islands","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 06:44:52', 'usage_end': '2023-10-27 11:44:52'}",Set an alarm for 7 AM,"{'time': '2023-10-27 21:44:52', 'activity': None}",,"{'IP_address': '4.137.217.248', 'Wifi_network': 'east', 'Device_ID': '3791bf50-a363-439d-9613-4adb5fb83a51'}",How do I set up voice recognition?
Raymond Smith,34,"New Jennifer, Vietnam","{'device': 'Voice Assistant', 'usage_start': '2023-10-28 01:44:52', 'usage_end': '2023-10-27 13:44:52'}",Set an alarm for 7 AM,"{'time': '2023-10-27 23:44:52', 'activity': None}",,"{'IP_address': '120.165.180.192', 'Wifi_network': 'effect', 'Device_ID': '93cb46f4-a385-4a58-a239-300895dbf834'}",Can I add multiple users?
Henry Edwards,53,"Bellburgh, Sao Tome and Principe","{'device': 'Smart Lock', 'usage_start': '2023-10-28 02:44:52', 'usage_end': '2023-10-27 17:44:52'}",,"{'time': '2023-10-27 17:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '94.239.105.20', 'Wifi_network': 'member', 'Device_ID': '75078087-d1be-49a1-a1d9-b3e547c5025d'}",How do I set up voice recognition?
Robert English,35,"Patriciaport, Yemen","{'device': 'Smart Light', 'usage_start': '2023-10-27 23:44:52', 'usage_end': '2023-10-28 00:44:52'}",,"{'time': '2023-10-27 12:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '61.234.30.53', 'Wifi_network': 'sit', 'Device_ID': '998dfa12-39e5-4003-9344-1bd2717b5eb2'}",
Shane Le,74,"Jacobsmouth, Maldives","{'device': 'Smart Lock', 'usage_start': '2023-10-27 22:44:52', 'usage_end': '2023-10-27 22:44:52'}",,"{'time': '2023-10-27 13:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '91.145.105.246', 'Wifi_network': 'say', 'Device_ID': '123bb285-caf5-40b9-8f65-df31b57039fb'}",
Mrs. Melissa Golden MD,54,"Sarahfort, Somalia","{'device': 'Smart Light', 'usage_start': '2023-10-28 00:44:52', 'usage_end': '2023-10-27 20:44:52'}",,"{'time': '2023-10-27 16:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '77.112.126.116', 'Wifi_network': 'bag', 'Device_ID': 'd586b0a2-0877-404f-97b9-b8b36a2d4fa1'}",Can I add multiple users?
Maria Ross,55,"Lake Kerry, Guinea","{'device': 'Smart Lock', 'usage_start': '2023-10-28 03:44:52', 'usage_end': '2023-10-27 09:44:52'}",,"{'time': '2023-10-27 22:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '194.200.164.36', 'Wifi_network': 'hard', 'Device_ID': '01f28e09-3230-4d85-b48a-a53d47ed2b01'}",
Angela Stokes,34,"East Michael, United States Minor Outlying Islands","{'device': 'Security Camera', 'usage_start': '2023-10-28 03:44:52', 'usage_end': '2023-10-27 19:44:52'}",,"{'time': '2023-10-27 23:44:52', 'activity': 'Smoke detected'}",,"{'IP_address': '36.38.171.10', 'Wifi_network': 'land', 'Device_ID': '60bcc64d-bb41-4f14-b314-d7647abf9523'}",
Sarah Medina,65,"East Richardside, Tanzania","{'device': 'Thermostat', 'usage_start': '2023-10-28 00:44:52', 'usage_end': '2023-10-27 18:44:52'}",,"{'time': '2023-10-28 00:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '9.4.149.13', 'Wifi_network': 'authority', 'Device_ID': '04a4a29f-64ec-4eac-940b-e53b95b8c7c5'}",Device not responding
Karen Powers,73,"Lake Krista, Poland","{'device': 'Thermostat', 'usage_start': '2023-10-27 19:44:52', 'usage_end': '2023-10-28 02:44:52'}",,"{'time': '2023-10-27 08:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '24.1.172.17', 'Wifi_network': 'state', 'Device_ID': '5e634a7a-15c6-42fd-afaf-46fa4bf4ed62'}",
Robert Ochoa,73,"Rogershaven, Canada","{'device': 'Security Camera', 'usage_start': '2023-10-27 13:44:52', 'usage_end': '2023-10-27 06:44:52'}",,"{'time': '2023-10-27 12:44:52', 'activity': 'Window broken'}",,"{'IP_address': '186.108.126.133', 'Wifi_network': 'close', 'Device_ID': '7b3db8f9-3ff5-4a3e-8448-7ed475e5e97c'}",
Patrick Allen,23,"Riceborough, Afghanistan","{'device': 'Security Camera', 'usage_start': '2023-10-27 22:44:52', 'usage_end': '2023-10-27 21:44:52'}",,"{'time': '2023-10-27 09:44:52', 'activity': 'Window broken'}",,"{'IP_address': '96.88.47.211', 'Wifi_network': 'bit', 'Device_ID': 'f5137a17-75d5-46cd-b5d7-c23c6307768a'}",Can I add multiple users?
Jacqueline Cooper,53,"South Bruceport, Antarctica (the territory South of 60 deg S)","{'device': 'Thermostat', 'usage_start': '2023-10-27 18:44:52', 'usage_end': '2023-10-28 05:44:52'}",,"{'time': '2023-10-27 20:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '178.248.36.186', 'Wifi_network': 'almost', 'Device_ID': '54bbcf38-6af2-49e9-9b11-255e98f08941'}",Can I add multiple users?
Patricia Robertson,30,"Martinezville, Gabon","{'device': 'Smart Lock', 'usage_start': '2023-10-27 20:44:52', 'usage_end': '2023-10-27 18:44:52'}",,"{'time': '2023-10-28 02:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '149.120.61.186', 'Wifi_network': 'how', 'Device_ID': 'e3f942ba-46ba-4eb7-8635-0ba3947476eb'}",
Joseph Ortiz,41,"South Justin, Guadeloupe","{'device': 'Thermostat', 'usage_start': '2023-10-27 23:44:52', 'usage_end': '2023-10-28 01:44:52'}",,"{'time': '2023-10-27 07:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '220.182.211.227', 'Wifi_network': 'since', 'Device_ID': '8680d63d-f2eb-4f67-9e82-3847c2d5a2b2'}",Device not responding
Katherine Montes,41,"New Travis, Burkina Faso","{'device': 'Voice Assistant', 'usage_start': '2023-10-28 05:44:52', 'usage_end': '2023-10-27 14:44:52'}",What’s the weather?,"{'time': '2023-10-27 12:44:52', 'activity': None}",,"{'IP_address': '190.70.62.224', 'Wifi_network': 'week', 'Device_ID': '8b4f28df-98ef-4a60-822a-708a23e01b23'}",Device not responding
Brandon Kidd,23,"South Robertmouth, Latvia","{'device': 'Security Camera', 'usage_start': '2023-10-27 13:44:52', 'usage_end': '2023-10-27 13:44:52'}",,"{'time': '2023-10-27 20:44:52', 'activity': 'Unknown person in backyard'}",,"{'IP_address': '158.225.149.252', 'Wifi_network': 'ask', 'Device_ID': 'e142eac7-ac2c-41ec-b6e6-31ff23f6b001'}",
Yvonne Flores,75,"Millerberg, China","{'device': 'Smart Light', 'usage_start': '2023-10-27 20:44:52', 'usage_end': '2023-10-27 07:44:52'}",,"{'time': '2023-10-27 21:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '6.62.252.38', 'Wifi_network': 'anything', 'Device_ID': '9d976f10-3ccd-45a7-824c-a368a1c79407'}",
Danny Porter,19,"Lawrencestad, Kyrgyz Republic","{'device': 'Security Camera', 'usage_start': '2023-10-27 11:44:52', 'usage_end': '2023-10-28 01:44:52'}",,"{'time': '2023-10-28 02:44:52', 'activity': 'Opened front door'}",,"{'IP_address': '58.160.56.158', 'Wifi_network': 'system', 'Device_ID': 'ea1e3469-0d6a-4de3-9c07-e4172c22cbd5'}",The device is making a strange noise
Linda Holt,61,"Port Walterbury, Jamaica","{'device': 'Thermostat', 'usage_start': '2023-10-27 12:44:52', 'usage_end': '2023-10-28 03:44:52'}",,"{'time': '2023-10-27 18:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '91.98.116.227', 'Wifi_network': 'hundred', 'Device_ID': 'bd34a202-4305-4e5a-b222-d5a183b80fd3'}",How do I set up voice recognition?
Steven Cannon,73,"West April, Sierra Leone","{'device': 'Smart Light', 'usage_start': '2023-10-27 21:44:52', 'usage_end': '2023-10-27 18:44:52'}",,"{'time': '2023-10-27 09:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '139.157.44.69', 'Wifi_network': 'it', 'Device_ID': '7c156d96-c5e5-4711-a821-14e3785ead3c'}",The device is making a strange noise
William Price,27,"Lake Heather, Maldives","{'device': 'Security Camera', 'usage_start': '2023-10-27 14:44:52', 'usage_end': '2023-10-27 08:44:52'}",,"{'time': '2023-10-27 17:44:52', 'activity': 'Motion in living room at night'}",,"{'IP_address': '179.32.125.133', 'Wifi_network': 'country', 'Device_ID': 'ddeb316b-37f8-46c8-ab77-ab4b0455b319'}",
Mary Tran,19,"Hernandezmouth, Zambia","{'device': 'Smart Lock', 'usage_start': '2023-10-27 18:44:52', 'usage_end': '2023-10-27 15:44:52'}",,"{'time': '2023-10-27 19:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '70.233.24.89', 'Wifi_network': 'any', 'Device_ID': 'fc06ce2e-902c-4cc7-8a80-514ef265d088'}",Can I add multiple users?
Michael Phillips,56,"East John, Cote d'Ivoire","{'device': 'Smart Light', 'usage_start': '2023-10-28 05:44:52', 'usage_end': '2023-10-27 17:44:52'}",,"{'time': '2023-10-27 23:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '53.134.205.255', 'Wifi_network': 'yeah', 'Device_ID': '4e1de6a7-ea4b-4dd2-bf9f-d0df3ad3f07a'}",How do I set up voice recognition?
Justin Thompson,28,"South Jonstad, Nicaragua","{'device': 'Security Camera', 'usage_start': '2023-10-27 13:44:52', 'usage_end': '2023-10-27 18:44:52'}",,"{'time': '2023-10-27 21:44:52', 'activity': 'Opened front door'}",,"{'IP_address': '202.31.90.203', 'Wifi_network': 'year', 'Device_ID': '5a969967-8caf-4858-95a4-9224a90775e5'}",How do I set up voice recognition?
Christopher Wang,18,"West David, Grenada","{'device': 'Smart Light', 'usage_start': '2023-10-27 17:44:52', 'usage_end': '2023-10-28 03:44:52'}",,"{'time': '2023-10-27 12:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '131.43.132.253', 'Wifi_network': 'wall', 'Device_ID': 'a67be92d-3860-45b1-a610-a821d1fc9bf8'}",
Danielle Barry,45,"Hebertberg, Isle of Man","{'device': 'Security Camera', 'usage_start': '2023-10-27 19:44:52', 'usage_end': '2023-10-28 04:44:52'}",,"{'time': '2023-10-27 16:44:52', 'activity': 'Motion in living room at night'}",,"{'IP_address': '170.238.5.147', 'Wifi_network': 'machine', 'Device_ID': '2aac3ca9-1e4c-433f-a0b9-f7b7b11149c7'}",
Sherry Marquez,51,"Youngchester, United Kingdom","{'device': 'Smart Lock', 'usage_start': '2023-10-27 08:44:52', 'usage_end': '2023-10-27 18:44:52'}",,"{'time': '2023-10-27 12:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '152.142.111.213', 'Wifi_network': 'wear', 'Device_ID': '688eb9c9-325f-455c-a07e-cbad38a9384b'}",
Nicole Krueger,41,"South Amandaside, Micronesia","{'device': 'Thermostat', 'usage_start': '2023-10-28 00:44:52', 'usage_end': '2023-10-27 13:44:52'}",,"{'time': '2023-10-28 01:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '8.174.90.75', 'Wifi_network': 'hotel', 'Device_ID': 'd869eb2d-394e-4ce7-95c4-2e7916cca1fa'}",
Valerie Estrada,43,"Beckerland, Northern Mariana Islands","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 20:44:52', 'usage_end': '2023-10-28 01:44:52'}",Turn off the living room light,"{'time': '2023-10-27 14:44:52', 'activity': None}",,"{'IP_address': '169.106.169.186', 'Wifi_network': 'fish', 'Device_ID': 'd0e3c3f7-b90b-4b0c-884f-9e09fe4a3d89'}",
Andrew Allen,55,"New Johnville, Saint Lucia","{'device': 'Thermostat', 'usage_start': '2023-10-28 00:44:52', 'usage_end': '2023-10-27 17:44:52'}",,"{'time': '2023-10-27 16:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '131.220.123.93', 'Wifi_network': 'bill', 'Device_ID': 'a4a34ed4-7b53-4255-9aa1-973c61bcf364'}",
Travis Marquez,72,"Chandlerfort, Estonia","{'device': 'Smart Lock', 'usage_start': '2023-10-27 16:44:52', 'usage_end': '2023-10-27 14:44:52'}",,"{'time': '2023-10-27 08:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '10.27.126.100', 'Wifi_network': 'man', 'Device_ID': 'af40b8a2-03db-464f-ab0f-f52c35caf5f2'}",Device not responding
Dr. Stephanie Frederick,69,"New Christyburgh, Zambia","{'device': 'Thermostat', 'usage_start': '2023-10-27 15:44:52', 'usage_end': '2023-10-27 21:44:52'}",,"{'time': '2023-10-27 15:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '136.103.17.172', 'Wifi_network': 'Democrat', 'Device_ID': '5fb31469-1c6e-49c8-a618-0b04065c4658'}",The device is making a strange noise
Michael Willis,57,"Shirleyfurt, Zambia","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 05:44:52', 'usage_end': '2023-10-27 07:44:52'}",Read my notifications,"{'time': '2023-10-27 05:44:52', 'activity': None}",,"{'IP_address': '132.0.198.42', 'Wifi_network': 'order', 'Device_ID': '290aa6db-c349-496b-9960-3b9c00894883'}",
Christina Cole,28,"Rebeccamouth, Austria","{'device': 'Thermostat', 'usage_start': '2023-10-28 04:44:52', 'usage_end': '2023-10-28 01:44:52'}",,"{'time': '2023-10-27 21:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '62.137.43.113', 'Wifi_network': 'condition', 'Device_ID': 'ee1e70b7-87da-436a-afae-84a5aeae7d7f'}",
Mrs. Dominique Roach,61,"Collinsville, Tanzania","{'device': 'Smart Lock', 'usage_start': '2023-10-27 23:44:52', 'usage_end': '2023-10-27 10:44:52'}",,"{'time': '2023-10-28 02:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '146.137.130.236', 'Wifi_network': 'million', 'Device_ID': '02addb72-a65e-4515-8935-8d5e26b02ac4'}",How do I set up voice recognition?
Nicholas Ramos,52,"Shaunton, Nicaragua","{'device': 'Voice Assistant', 'usage_start': '2023-10-28 03:44:52', 'usage_end': '2023-10-27 18:44:52'}",What’s the weather?,"{'time': '2023-10-27 15:44:52', 'activity': None}",,"{'IP_address': '112.188.20.80', 'Wifi_network': 'edge', 'Device_ID': 'a6a2ec8e-7c33-478d-8363-92a8522ac227'}",Can I add multiple users?
Christine King,57,"East Aliciabury, Korea","{'device': 'Security Camera', 'usage_start': '2023-10-27 17:44:52', 'usage_end': '2023-10-28 01:44:52'}",,"{'time': '2023-10-28 01:44:52', 'activity': 'Unknown person in backyard'}",,"{'IP_address': '130.187.168.200', 'Wifi_network': 'group', 'Device_ID': '64d51d34-2d67-423d-b9ab-4109eab19ad6'}",
Cheryl Hatfield,64,"Lake Annfurt, United States of America","{'device': 'Smart Lock', 'usage_start': '2023-10-27 12:44:52', 'usage_end': '2023-10-27 17:44:52'}",,"{'time': '2023-10-27 18:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '174.104.228.66', 'Wifi_network': 'feel', 'Device_ID': '1abf2047-5a67-4495-89f0-67b8be1ae1b5'}",
Kevin Flynn,41,"Stevenfort, Peru","{'device': 'Voice Assistant', 'usage_start': '2023-10-28 03:44:52', 'usage_end': '2023-10-27 18:44:52'}",Read my notifications,"{'time': '2023-10-27 05:44:52', 'activity': None}",,"{'IP_address': '150.21.20.238', 'Wifi_network': 'chance', 'Device_ID': '331e002f-2c97-4961-963f-9e8110f7a2fe'}",How do I set up voice recognition?
Kimberly Henderson,75,"Gregoryside, Dominica","{'device': 'Security Camera', 'usage_start': '2023-10-27 23:44:52', 'usage_end': '2023-10-27 09:44:52'}",,"{'time': '2023-10-27 23:44:52', 'activity': 'Opened front door'}",,"{'IP_address': '83.91.126.111', 'Wifi_network': 'word', 'Device_ID': '0ddaafe1-cef9-4f3e-9fa0-200049d67205'}",
Michael Thompson,33,"South Sherri, United Kingdom","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 15:44:52', 'usage_end': '2023-10-27 06:44:52'}",Set an alarm for 7 AM,"{'time': '2023-10-27 10:44:52', 'activity': None}",,"{'IP_address': '89.2.25.5', 'Wifi_network': 'as', 'Device_ID': 'b861bc55-2ddc-47e9-ba8a-aa27795dcf59'}",The device is making a strange noise
Mitchell Evans,74,"North Elizabethfurt, Botswana","{'device': 'Smart Lock', 'usage_start': '2023-10-28 03:44:52', 'usage_end': '2023-10-27 17:44:52'}",,"{'time': '2023-10-27 19:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '170.249.48.34', 'Wifi_network': 'ability', 'Device_ID': '073aeb4a-3c8f-4743-bf9b-5a9a5fe0189a'}",
Sheila Black,22,"Shawnshire, Spain","{'device': 'Security Camera', 'usage_start': '2023-10-27 14:44:52', 'usage_end': '2023-10-28 01:44:52'}",,"{'time': '2023-10-27 08:44:52', 'activity': 'Motion in living room at night'}",,"{'IP_address': '36.255.207.182', 'Wifi_network': 'traditional', 'Device_ID': '2a55c87e-12a1-4dd7-8cb1-5cec5d05ce49'}",The device is making a strange noise
Daniel Burgess,35,"Port Jessicaborough, Nauru","{'device': 'Smart Lock', 'usage_start': '2023-10-27 15:44:52', 'usage_end': '2023-10-27 20:44:52'}",,"{'time': '2023-10-28 02:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '209.216.75.205', 'Wifi_network': 'bed', 'Device_ID': 'ef94851c-5b94-4895-b8bb-2b0332098b21'}",
Dillon Carr,59,"South Huntermouth, Turks and Caicos Islands","{'device': 'Thermostat', 'usage_start': '2023-10-28 00:44:52', 'usage_end': '2023-10-27 17:44:52'}",,"{'time': '2023-10-28 00:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '204.125.57.198', 'Wifi_network': 'child', 'Device_ID': 'ef972488-cf22-467e-bced-702ba8421b4f'}",How do I set up voice recognition?
Alexis Meza,18,"Barbaraview, Jordan","{'device': 'Thermostat', 'usage_start': '2023-10-27 15:44:52', 'usage_end': '2023-10-27 16:44:52'}",,"{'time': '2023-10-27 23:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '43.12.34.36', 'Wifi_network': 'street', 'Device_ID': '81a8b664-40dc-4e97-b2a7-f7bed027512f'}",The device is making a strange noise
Monica Thomas,54,"Lake Darleneland, Saint Vincent and the Grenadines","{'device': 'Smart Light', 'usage_start': '2023-10-27 10:44:52', 'usage_end': '2023-10-27 17:44:52'}",,"{'time': '2023-10-27 10:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '187.81.201.20', 'Wifi_network': 'modern', 'Device_ID': 'd08eb163-ea8b-4453-b422-b127449e796a'}",Can I add multiple users?
Ernest Lambert,32,"North Robertmouth, British Virgin Islands","{'device': 'Thermostat', 'usage_start': '2023-10-27 16:44:52', 'usage_end': '2023-10-28 03:44:52'}",,"{'time': '2023-10-27 10:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '19.106.48.40', 'Wifi_network': 'want', 'Device_ID': '4561daa9-f158-4511-8e30-d86f356672ac'}",The device is making a strange noise
Matthew Smith,26,"Markbury, Algeria","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 05:44:52', 'usage_end': '2023-10-27 13:44:52'}",Set an alarm for 7 AM,"{'time': '2023-10-27 08:44:52', 'activity': None}",,"{'IP_address': '57.123.226.145', 'Wifi_network': 'ok', 'Device_ID': '56c6fd04-9951-4779-ae08-1eae1ff353cd'}",Device not responding
Ashley Diaz,70,"Janetbury, Guinea-Bissau","{'device': 'Voice Assistant', 'usage_start': '2023-10-28 05:44:52', 'usage_end': '2023-10-27 14:44:52'}",What’s the weather?,"{'time': '2023-10-28 02:44:52', 'activity': None}",,"{'IP_address': '14.105.23.191', 'Wifi_network': 'I', 'Device_ID': '7fb30d16-6e48-4d0b-a35e-bf81bc1fadcd'}",
Bryce Chase,53,"Leeton, Heard Island and McDonald Islands","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 06:44:52', 'usage_end': '2023-10-27 16:44:52'}",What’s the weather?,"{'time': '2023-10-28 05:44:52', 'activity': None}",,"{'IP_address': '67.118.36.76', 'Wifi_network': 'good', 'Device_ID': '07316fa1-b460-43dd-9212-db2f24eb5223'}",Device not responding
Kristen Allen,49,"North Alexandrashire, Lesotho","{'device': 'Security Camera', 'usage_start': '2023-10-28 05:44:52', 'usage_end': '2023-10-28 04:44:52'}",,"{'time': '2023-10-27 14:44:52', 'activity': 'Unknown person in backyard'}",,"{'IP_address': '7.191.80.125', 'Wifi_network': 'reflect', 'Device_ID': '97ebf1c5-c37b-4370-a406-953a3d69e7c5'}",Can I add multiple users?
Charles Houston,57,"Lake Jonathan, Somalia","{'device': 'Smart Light', 'usage_start': '2023-10-27 22:44:52', 'usage_end': '2023-10-27 23:44:52'}",,"{'time': '2023-10-27 16:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '40.79.180.68', 'Wifi_network': 'organization', 'Device_ID': '20468362-0c6e-4188-a51c-122f38c23da9'}",
Leslie Lane,50,"Brownport, Honduras","{'device': 'Thermostat', 'usage_start': '2023-10-27 11:44:52', 'usage_end': '2023-10-27 20:44:52'}",,"{'time': '2023-10-27 07:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '156.58.88.10', 'Wifi_network': 'threat', 'Device_ID': 'c165e2f8-3671-48f1-9741-5b66e3035d47'}",Device not responding
Michele Snyder,36,"Stewartmouth, Benin","{'device': 'Thermostat', 'usage_start': '2023-10-28 03:44:52', 'usage_end': '2023-10-27 11:44:52'}",,"{'time': '2023-10-27 21:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '201.79.17.21', 'Wifi_network': 'kind', 'Device_ID': 'a97b8393-e5a2-40ec-b313-3600dbee7c51'}",
Destiny Rodgers,53,"Lanechester, Bolivia","{'device': 'Security Camera', 'usage_start': '2023-10-27 17:44:52', 'usage_end': '2023-10-28 00:44:52'}",,"{'time': '2023-10-27 05:44:52', 'activity': 'Motion in living room at night'}",,"{'IP_address': '172.186.214.28', 'Wifi_network': 'trade', 'Device_ID': 'f505c9d7-f74e-4da6-8a67-be623557afb1'}",How do I set up voice recognition?
John Frazier,71,"Sullivanfort, Moldova","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 19:44:52', 'usage_end': '2023-10-27 06:44:52'}",Turn off the living room light,"{'time': '2023-10-28 05:44:52', 'activity': None}",,"{'IP_address': '125.35.94.86', 'Wifi_network': 'father', 'Device_ID': '0f9a7f56-0841-46a0-ad13-ac128d3db6be'}",
James Sparks,37,"Moniquestad, Ireland","{'device': 'Security Camera', 'usage_start': '2023-10-27 20:44:52', 'usage_end': '2023-10-27 18:44:52'}",,"{'time': '2023-10-27 14:44:52', 'activity': 'Smoke detected'}",,"{'IP_address': '131.211.80.98', 'Wifi_network': 'region', 'Device_ID': 'fea2dfd1-582b-4209-b0bb-dc4d57d32416'}",
Edward Smith,33,"Jessicaview, Indonesia","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 23:44:52', 'usage_end': '2023-10-27 15:44:52'}",Read my notifications,"{'time': '2023-10-27 23:44:52', 'activity': None}",,"{'IP_address': '215.3.194.19', 'Wifi_network': 'choose', 'Device_ID': 'eb9cf934-ef15-41a4-9ecf-4408c1b61c10'}",The device is making a strange noise
Bobby Collins,59,"East Tracyland, Zimbabwe","{'device': 'Thermostat', 'usage_start': '2023-10-27 09:44:52', 'usage_end': '2023-10-27 15:44:52'}",,"{'time': '2023-10-27 05:44:52', 'activity': None}",Automated lighting configuration,"{'IP_address': '219.172.20.187', 'Wifi_network': 'course', 'Device_ID': 'cd5a14fa-9920-497e-a331-37511bf726e2'}",
Karen Robinson,20,"Sherrytown, Niue","{'device': 'Voice Assistant', 'usage_start': '2023-10-27 13:44:52', 'usage_end': '2023-10-27 07:44:52'}",Play music,"{'time': '2023-10-27 07:44:52', 'activity': None}",,"{'IP_address': '19.19.10.147', 'Wifi_network': 'base', 'Device_ID': 'b178d4ca-6e3e-432e-974d-f806a7ef360b'}",Can I add multiple users?
Krista Rodriguez,72,"Sarahhaven, Montserrat","{'device': 'Thermostat', 'usage_start': '2023-10-28 02:44:52', 'usage_end': '2023-10-27 15:44:52'}",,"{'time': '2023-10-27 15:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '49.254.118.69', 'Wifi_network': 'over', 'Device_ID': 'eedd0444-a971-411f-a882-f9e7aef0cf74'}",
Gregory Turner,19,"Lake Lindsey, Thailand","{'device': 'Smart Light', 'usage_start': '2023-10-28 04:44:52', 'usage_end': '2023-10-28 00:44:52'}",,"{'time': '2023-10-27 17:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '196.10.52.236', 'Wifi_network': 'ten', 'Device_ID': '74179d5f-785c-40b9-bcbd-d774a59587d9'}",
Kristina Kline,60,"North Robertmouth, Montserrat","{'device': 'Smart Lock', 'usage_start': '2023-10-27 12:44:52', 'usage_end': '2023-10-28 01:44:52'}",,"{'time': '2023-10-27 05:44:52', 'activity': None}",Thermostat schedule,"{'IP_address': '117.126.34.73', 'Wifi_network': 'against', 'Device_ID': '29d54ed0-66c0-4ec3-9fd0-ee65ba10c65e'}",The device is making a strange noise
Darius Garcia,30,"North Tamarastad, Georgia","{'device': 'Smart Lock', 'usage_start': '2023-10-28 01:44:52', 'usage_end': '2023-10-28 02:44:52'}",,"{'time': '2023-10-27 07:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '163.181.165.56', 'Wifi_network': 'us', 'Device_ID': 'ac304e1d-eda4-4503-b614-48d90cbb4f52'}",How do I set up voice recognition?
Cassidy Brown,33,"Bentleyfurt, Italy","{'device': 'Smart Light', 'usage_start': '2023-10-27 07:44:52', 'usage_end': '2023-10-27 11:44:52'}",,"{'time': '2023-10-27 16:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '210.243.113.16', 'Wifi_network': 'data', 'Device_ID': '7c30319c-7719-4d75-9332-6c6a0edd4a30'}",
Justin Orozco,37,"Sethside, Madagascar","{'device': 'Smart Light', 'usage_start': '2023-10-28 05:44:52', 'usage_end': '2023-10-27 11:44:52'}",,"{'time': '2023-10-27 08:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '61.23.177.168', 'Wifi_network': 'fall', 'Device_ID': 'e9e28ffc-d01f-4a4c-ba1f-c9341ed73179'}",Can I add multiple users?
Katherine Bradley,45,"Port Davidview, Montserrat","{'device': 'Smart Lock', 'usage_start': '2023-10-27 06:44:52', 'usage_end': '2023-10-27 16:44:52'}",,"{'time': '2023-10-27 11:44:52', 'activity': None}",Security alarm preferences,"{'IP_address': '103.229.157.70', 'Wifi_network': 'card', 'Device_ID': '03cda608-d4f8-48ab-9fb1-d8e5522d1637'}",
Paul Adams,55,"South Barryland, Costa Rica","{'device': 'Security Camera', 'usage_start': '2023-10-27 08:44:52', 'usage_end': '2023-10-28 04:44:52'}",,"{'time': '2023-10-27 22:44:52', 'activity': 'Window broken'}",,"{'IP_address': '147.101.39.83', 'Wifi_network': 'arrive', 'Device_ID': '2ec88218-b357-4209-9a45-c66f19d823f4'}",The device is making a strange noise
Emily Harris,36,"Lake Nancyfurt, Bouvet Island (Bouvetoya)","{'device': 'Smart Lock', 'usage_start': '2023-10-27 09:44:52', 'usage_end': '2023-10-27 09:44:52'}",,"{'time': '2023-10-27 21:44:52', 'activity': None}",Automated door lock schedule,"{'IP_address': '135.124.4.25', 'Wifi_network': 'condition', 'Device_ID': 'bdf0a1e0-d067-4eb0-8fcc-845a796e94fb'}",Can I add multiple users?
