Name,Age,Location,Gender,Income,Assets,Debts,Monthly Expenses,Investment Preference,Type of Advice Sought,User Financial Goal,Action Based on Advice,Feedback on Advice,App Usability Feedback,Trust Level with Digital Advisor
Carol Schneider,47,"Hallborough, Romania",Non-binary,8711.73,70043.88,1697.35,1493.22,Real Estate,Savings Plan,Increase Savings,Not Implemented,Neutral,Very Unsatisfied,High
Francis Hoffman,51,"Blackchester, Congo",Female,8176.36,64439.19,0.0,3485.19,Cryptocurrency,Investment Strategy,High ROI Investments,Seeking Further Consultation,Very Satisfied,Very Satisfied,Moderate
Logan Adams,63,"Jasonchester, Malaysia",Non-binary,3465.77,83486.49,0.0,3731.84,Cryptocurrency,Debt Management,Debt Reduction,Not Implemented,Neutral,Very Satisfied,Low
Jack Padilla,50,"New Makaylaberg, Nauru",Female,7897.28,15471.65,0.0,4782.34,Bonds,Debt Management,Tax Savings,Seeking Further Consultation,Satisfied,Very Satisfied,Low
Tina Mcknight,56,"South Kristine, Cook Islands",Male,7670.11,91238.65,2072.91,3039.95,Fixed Deposits,Debt Management,Debt Reduction,Not Implemented,Unsatisfied,Neutral,Low
Cheryl Elliott,47,"New Marcus, Somalia",Female,3262.84,94909.51,857.97,4134.28,Stocks,Retirement Planning,High ROI Investments,Not Implemented,Unsatisfied,Unsatisfied,High
Elizabeth Hughes,19,"West Miguel, Greece",Male,5441.56,12265.91,0.0,4769.74,Stocks,Investment Strategy,Tax Savings,Partially Implemented,Satisfied,Very Unsatisfied,High
Nicole Ball,21,"West Joseville, Eritrea",Male,8717.97,22987.03,0.0,4885.17,Stocks,Investment Strategy,Tax Savings,Not Implemented,Satisfied,Unsatisfied,Low
Rodney Cooper,59,"Ochoafort, Wallis and Futuna",Female,9344.33,98786.68,0.0,3047.33,Mutual Funds,Debt Management,Retirement Fund Building,Implemented,Neutral,Neutral,Moderate
John Smith,21,"Comptonberg, Egypt",Male,6742.6,69563.05,0.0,2123.52,Cryptocurrency,Debt Management,Increase Savings,Seeking Further Consultation,Satisfied,Very Satisfied,High
Theresa Fuller,33,"Mariatown, Guernsey",Non-binary,5435.88,93737.22,0.0,3965.97,Mutual Funds,Savings Plan,Tax Savings,Seeking Further Consultation,Neutral,Satisfied,Low
Joann Anderson,46,"Stephenberg, Central African Republic",Non-binary,4777.13,48914.06,4251.38,822.22,Real Estate,Savings Plan,Debt Reduction,Partially Implemented,Unsatisfied,Satisfied,Low
Carlos Francis,47,"Davidchester, Northern Mariana Islands",Non-binary,7084.7,63758.32,1238.94,2530.41,Fixed Deposits,Retirement Planning,Increase Savings,Partially Implemented,Very Satisfied,Unsatisfied,High
Tanya Fox,18,"Kathytown, Kyrgyz Republic",Non-binary,9341.46,11468.88,3223.89,2164.75,Cryptocurrency,Savings Plan,Retirement Fund Building,Not Implemented,Very Unsatisfied,Very Satisfied,Low
Courtney Mccann,57,"South Raymond, Vanuatu",Non-binary,9299.78,43284.23,1457.32,3239.39,Fixed Deposits,Retirement Planning,Tax Savings,Seeking Further Consultation,Unsatisfied,Very Satisfied,Low
Lisa Stephenson,41,"West Stevenburgh, Cambodia",Female,2672.34,91313.55,954.22,3930.32,Real Estate,Tax Planning,High ROI Investments,Partially Implemented,Unsatisfied,Very Satisfied,Moderate
Dylan Torres,31,"West Derekchester, Turkmenistan",Female,7938.87,9771.53,1074.58,4082.54,Gold,Tax Planning,High ROI Investments,Implemented,Unsatisfied,Satisfied,Moderate
Carol Hunter,37,"New Janeberg, Belarus",Non-binary,9355.78,39095.9,0.0,3613.88,Gold,Savings Plan,Tax Savings,Not Implemented,Unsatisfied,Satisfied,High
Melissa Cochran,49,"Hughesmouth, Burkina Faso",Female,7490.28,5663.98,726.56,612.17,Bonds,Investment Strategy,High ROI Investments,Implemented,Neutral,Satisfied,Moderate
Frank Curtis,58,"Lake Brittany, Iceland",Non-binary,4134.2,6494.2,0.0,2047.71,Bonds,Debt Management,Retirement Fund Building,Seeking Further Consultation,Very Satisfied,Unsatisfied,Low
Kathleen Brown,31,"Jaredburgh, Micronesia",Non-binary,7622.78,89447.75,4188.31,1555.25,Real Estate,Retirement Planning,Increase Savings,Implemented,Unsatisfied,Neutral,Moderate
Jonathan Greene,70,"West Johnville, Saint Helena",Female,6484.2,89388.64,2545.1,689.67,Fixed Deposits,Savings Plan,Tax Savings,Seeking Further Consultation,Neutral,Neutral,Moderate
Michael Rich,67,"Portermouth, Oman",Male,9215.74,5612.01,0.0,4187.2,Mutual Funds,Investment Strategy,High ROI Investments,Seeking Further Consultation,Very Unsatisfied,Unsatisfied,High
Eric Duncan,57,"East Kathleen, Aruba",Female,5790.21,56268.83,0.0,665.06,Gold,Debt Management,Retirement Fund Building,Not Implemented,Satisfied,Very Unsatisfied,Low
Carmen Miller,66,"Davidville, Tajikistan",Male,8694.44,73057.13,0.0,3966.15,Fixed Deposits,Tax Planning,High ROI Investments,Implemented,Unsatisfied,Satisfied,High
Carol Fox,64,"Burketown, Monaco",Male,5781.2,81378.99,0.0,4171.0,Bonds,Debt Management,Retirement Fund Building,Not Implemented,Satisfied,Very Unsatisfied,Moderate
April Jones,35,"East Chad, Qatar",Non-binary,2174.48,71506.55,0.0,4320.43,Mutual Funds,Retirement Planning,High ROI Investments,Seeking Further Consultation,Very Unsatisfied,Satisfied,High
Michael Meyer,36,"Port Jamesfurt, Liechtenstein",Male,5933.46,22046.72,0.0,4272.37,Mutual Funds,Retirement Planning,Increase Savings,Not Implemented,Neutral,Very Unsatisfied,High
Daniel Edwards,20,"Jordanmouth, Lithuania",Non-binary,8260.59,52105.51,0.0,3679.47,Cryptocurrency,Retirement Planning,Increase Savings,Seeking Further Consultation,Satisfied,Very Unsatisfied,High
Kevin Jarvis,43,"Mclaughlinshire, South Africa",Male,3360.65,43905.22,1187.77,1090.2,Bonds,Debt Management,Tax Savings,Partially Implemented,Unsatisfied,Unsatisfied,Low
Christopher Smith,48,"North Jamesfurt, Ireland",Male,2895.87,21915.01,1011.35,1093.59,Bonds,Tax Planning,High ROI Investments,Not Implemented,Satisfied,Very Unsatisfied,Moderate
Christina Doyle,60,"Amandamouth, Korea",Male,4119.53,76980.45,3047.02,4854.42,Bonds,Retirement Planning,Debt Reduction,Implemented,Satisfied,Neutral,Low
Kyle Sweeney,48,"Harringtonville, Samoa",Female,8717.4,96824.45,0.0,3727.05,Gold,Debt Management,High ROI Investments,Implemented,Satisfied,Unsatisfied,High
Edward Estrada,60,"Ashleyton, Niger",Non-binary,9428.11,31815.91,0.0,706.46,Mutual Funds,Debt Management,Increase Savings,Implemented,Satisfied,Very Unsatisfied,Moderate
Maria Lee,49,"Seanburgh, Burkina Faso",Non-binary,3522.61,71200.41,0.0,2908.09,Stocks,Tax Planning,High ROI Investments,Implemented,Neutral,Unsatisfied,High
Robert Goodwin,67,"Denisetown, Mali",Non-binary,3690.28,11363.37,0.0,4734.04,Mutual Funds,Retirement Planning,Increase Savings,Partially Implemented,Very Unsatisfied,Neutral,Low
Dr. April Hess DDS,62,"Collinsview, Indonesia",Male,8516.41,86885.76,2033.55,3436.55,Cryptocurrency,Retirement Planning,Tax Savings,Not Implemented,Neutral,Unsatisfied,High
Darrell Solomon,48,"Markshire, Barbados",Non-binary,3150.09,87494.58,2780.14,3892.13,Mutual Funds,Retirement Planning,Tax Savings,Seeking Further Consultation,Very Satisfied,Very Unsatisfied,Low
Alec Mora,36,"Morenostad, Heard Island and McDonald Islands",Female,8345.5,98493.6,3891.8,1950.43,Mutual Funds,Tax Planning,Debt Reduction,Partially Implemented,Very Satisfied,Very Satisfied,Low
Kimberly Bond,48,"Lake Christopher, Argentina",Male,8736.44,93940.24,0.0,4401.06,Cryptocurrency,Savings Plan,Increase Savings,Implemented,Satisfied,Satisfied,High
Deborah Johnson,44,"South Michelleton, Mauritania",Female,7111.42,79592.1,3807.18,884.96,Stocks,Retirement Planning,Debt Reduction,Not Implemented,Satisfied,Very Satisfied,High
Ruth Wood,67,"Kellymouth, Falkland Islands (Malvinas)",Non-binary,5572.09,82966.55,0.0,4826.65,Fixed Deposits,Tax Planning,Debt Reduction,Not Implemented,Very Unsatisfied,Unsatisfied,Moderate
John Navarro,20,"West Angelicaport, Timor-Leste",Non-binary,3949.39,80333.93,0.0,2403.79,Stocks,Debt Management,Increase Savings,Not Implemented,Neutral,Very Unsatisfied,Low
Chloe Estrada,70,"Rhodesmouth, Bahrain",Non-binary,6767.1,72675.91,0.0,1366.74,Fixed Deposits,Investment Strategy,Increase Savings,Seeking Further Consultation,Very Unsatisfied,Unsatisfied,Moderate
Brooke Mcdonald,63,"Port Douglashaven, Korea",Non-binary,7098.52,91130.32,0.0,3078.6,Bonds,Tax Planning,Retirement Fund Building,Partially Implemented,Unsatisfied,Satisfied,High
Jonathan King,36,"West Christophermouth, Palau",Female,4263.93,43091.72,0.0,988.02,Stocks,Debt Management,Increase Savings,Seeking Further Consultation,Very Unsatisfied,Very Unsatisfied,Moderate
Gerald Koch,47,"Morganview, Hong Kong",Male,3799.89,48606.47,0.0,4054.17,Cryptocurrency,Tax Planning,Debt Reduction,Seeking Further Consultation,Neutral,Very Unsatisfied,High
Eric Arnold,35,"Mclaughlinville, Anguilla",Female,2128.22,7745.11,2090.59,3012.41,Real Estate,Tax Planning,Increase Savings,Implemented,Unsatisfied,Unsatisfied,High
Mark Tran,29,"Port Amber, Saint Lucia",Non-binary,3089.77,45038.16,2200.5,2729.9,Bonds,Debt Management,High ROI Investments,Not Implemented,Unsatisfied,Very Satisfied,Low
Dwayne Diaz,30,"New Matthewville, Trinidad and Tobago",Male,3822.35,11538.11,0.0,812.94,Stocks,Investment Strategy,Increase Savings,Seeking Further Consultation,Satisfied,Very Unsatisfied,Moderate
Logan Valenzuela,42,"Emilyville, Brunei Darussalam",Female,9907.87,84739.61,3762.4,2877.49,Bonds,Investment Strategy,Increase Savings,Seeking Further Consultation,Neutral,Very Satisfied,Low
Kristin Flores,58,"Williamside, Denmark",Female,7559.68,70757.78,4263.64,1201.95,Real Estate,Retirement Planning,Tax Savings,Seeking Further Consultation,Very Satisfied,Neutral,Low
Hector Murray,48,"Ramirezview, Liberia",Female,3666.05,55845.64,0.0,3923.88,Gold,Retirement Planning,High ROI Investments,Seeking Further Consultation,Very Satisfied,Very Satisfied,Moderate
Brett Reed MD,42,"West Patriciaview, Somalia",Female,6616.51,31867.88,697.42,3567.87,Stocks,Tax Planning,High ROI Investments,Seeking Further Consultation,Satisfied,Very Unsatisfied,Low
Chelsea Hall,33,"Romeroville, Eritrea",Male,5731.41,12994.51,0.0,2605.88,Cryptocurrency,Savings Plan,Debt Reduction,Partially Implemented,Neutral,Neutral,Low
James Roach,44,"Lake Kristin, Chile",Female,5354.94,43188.35,4510.31,3444.7,Stocks,Retirement Planning,Debt Reduction,Not Implemented,Satisfied,Neutral,Moderate
Jennifer Anderson,19,"Moorestad, Netherlands Antilles",Female,3071.36,42616.18,0.0,2822.7,Bonds,Retirement Planning,Debt Reduction,Partially Implemented,Unsatisfied,Satisfied,Low
Louis Walters,44,"New Pamela, Burkina Faso",Female,8531.52,18026.2,2272.79,3219.21,Bonds,Debt Management,Increase Savings,Not Implemented,Very Unsatisfied,Neutral,Moderate
Dana Hunt,31,"Mariaview, French Polynesia",Non-binary,8527.88,34949.2,0.0,3162.29,Bonds,Savings Plan,Retirement Fund Building,Partially Implemented,Unsatisfied,Very Satisfied,Moderate
Vincent Rodriguez,43,"West Marcus, Bahamas",Non-binary,7275.04,58901.64,3480.85,3878.51,Fixed Deposits,Debt Management,Retirement Fund Building,Not Implemented,Satisfied,Neutral,High
John Wiggins,21,"New Kevin, French Guiana",Female,7295.22,56330.21,4205.23,684.6,Fixed Deposits,Savings Plan,Increase Savings,Seeking Further Consultation,Neutral,Very Unsatisfied,Moderate
Jeff Rowland,68,"New Amandatown, Niger",Non-binary,6183.72,55219.41,3237.28,746.15,Cryptocurrency,Debt Management,Tax Savings,Implemented,Very Satisfied,Very Unsatisfied,Low
Andrea Smith,34,"Lake Zacharyberg, Gibraltar",Non-binary,4411.06,61278.19,0.0,4013.37,Cryptocurrency,Tax Planning,High ROI Investments,Implemented,Very Unsatisfied,Very Unsatisfied,High
Roger Mason,52,"Nathanmouth, Costa Rica",Female,3504.3,30396.24,4322.27,3688.13,Gold,Savings Plan,High ROI Investments,Not Implemented,Very Satisfied,Very Unsatisfied,High
Krystal Nguyen,40,"Johnton, Algeria",Non-binary,9607.23,57698.8,3926.44,4377.76,Bonds,Investment Strategy,Debt Reduction,Seeking Further Consultation,Very Unsatisfied,Very Satisfied,Low
Sonia Flores,37,"New Anthonyland, Iraq",Female,7883.52,89261.66,0.0,2823.38,Cryptocurrency,Retirement Planning,Tax Savings,Implemented,Satisfied,Unsatisfied,Low
Diana Mata,63,"North Caitlintown, Lao People's Democratic Republic",Non-binary,3550.01,41722.11,3634.27,1911.68,Gold,Debt Management,Debt Reduction,Seeking Further Consultation,Neutral,Very Unsatisfied,High
Kelly Jones,34,"Kimbury, Palau",Female,6388.87,70531.76,4145.32,688.44,Stocks,Savings Plan,High ROI Investments,Seeking Further Consultation,Neutral,Satisfied,Moderate
Daniel Hardin,30,"Pachecochester, Israel",Female,2498.37,26608.76,4551.04,583.98,Cryptocurrency,Investment Strategy,Increase Savings,Partially Implemented,Neutral,Very Unsatisfied,High
Lindsey King,28,"West Johnfurt, Niue",Non-binary,8768.76,42117.13,0.0,1788.49,Fixed Deposits,Tax Planning,Increase Savings,Seeking Further Consultation,Very Unsatisfied,Satisfied,High
Jason Mendez,46,"East Devin, Korea",Non-binary,2270.89,54177.98,0.0,3455.62,Stocks,Savings Plan,High ROI Investments,Implemented,Unsatisfied,Satisfied,Moderate
Jose Berg,27,"Robinsonland, Greece",Female,4134.18,25797.82,1928.43,2208.02,Real Estate,Investment Strategy,High ROI Investments,Not Implemented,Satisfied,Neutral,High
Molly Ross,33,"New Brendan, Belize",Male,7440.4,33623.23,3979.7,1733.92,Gold,Savings Plan,Tax Savings,Seeking Further Consultation,Very Satisfied,Very Satisfied,Moderate
Patricia Hamilton,32,"Thomasstad, Cameroon",Non-binary,4968.94,7360.14,3529.18,1610.15,Gold,Investment Strategy,Increase Savings,Partially Implemented,Very Satisfied,Satisfied,High
Jocelyn Franklin,48,"Lisatown, San Marino",Non-binary,7518.77,27528.72,0.0,4771.82,Cryptocurrency,Investment Strategy,Retirement Fund Building,Partially Implemented,Very Unsatisfied,Very Unsatisfied,Moderate
Dustin Tate,64,"Dylanton, Bahrain",Female,2003.99,10971.89,677.14,830.44,Gold,Investment Strategy,High ROI Investments,Not Implemented,Very Unsatisfied,Very Unsatisfied,High
Kristine West,18,"West Joseberg, Svalbard & Jan Mayen Islands",Male,6224.65,9041.3,0.0,1239.13,Mutual Funds,Investment Strategy,Tax Savings,Partially Implemented,Very Unsatisfied,Satisfied,High
Robin Cooper,49,"Heatherborough, Bermuda",Male,5582.29,23513.73,3130.27,4457.87,Bonds,Tax Planning,Increase Savings,Implemented,Unsatisfied,Very Unsatisfied,Low
Emily Ross,39,"West Erika, Antigua and Barbuda",Female,8146.79,88569.16,0.0,2679.78,Real Estate,Investment Strategy,Retirement Fund Building,Partially Implemented,Very Satisfied,Satisfied,Moderate
Ryan Miller MD,31,"West Brittany, Guam",Male,2563.14,5623.6,4361.49,1860.61,Real Estate,Debt Management,Tax Savings,Implemented,Neutral,Neutral,Moderate
Seth Turner,64,"Browntown, Ghana",Female,2950.4,67973.14,3955.31,3472.96,Stocks,Tax Planning,Increase Savings,Implemented,Unsatisfied,Satisfied,Low
Preston Guerrero,62,"Mccartytown, Mexico",Non-binary,6052.07,51506.53,0.0,4276.71,Fixed Deposits,Savings Plan,Retirement Fund Building,Implemented,Neutral,Satisfied,Low
Joseph Brown,54,"Dawnfurt, China",Non-binary,4035.78,52176.53,2560.35,2119.75,Bonds,Tax Planning,High ROI Investments,Implemented,Unsatisfied,Neutral,Moderate
Brittney Shaffer,50,"East Amandaburgh, Bosnia and Herzegovina",Female,2186.3,89002.51,4005.73,3585.03,Real Estate,Retirement Planning,Debt Reduction,Seeking Further Consultation,Neutral,Very Unsatisfied,High
Richard Wagner,57,"South Michael, Singapore",Non-binary,7983.96,12112.24,201.22,3381.02,Fixed Deposits,Retirement Planning,Tax Savings,Implemented,Neutral,Neutral,Moderate
Cheryl Cross PhD,21,"Sampsonshire, Chad",Male,2028.38,38255.57,1894.3,2338.19,Bonds,Debt Management,Debt Reduction,Seeking Further Consultation,Satisfied,Very Satisfied,High
Kristen Ho,37,"Brittanyland, Kiribati",Male,8557.31,49584.11,0.0,2186.3,Gold,Tax Planning,High ROI Investments,Implemented,Satisfied,Unsatisfied,Low
Matthew Ramirez,49,"Byrdchester, Philippines",Non-binary,9671.55,89393.79,177.07,4847.37,Cryptocurrency,Tax Planning,Retirement Fund Building,Not Implemented,Satisfied,Very Unsatisfied,Low
Beth Turner MD,34,"Jasontown, Belize",Male,6542.45,81044.78,0.0,3861.59,Cryptocurrency,Retirement Planning,Tax Savings,Seeking Further Consultation,Unsatisfied,Satisfied,Low
Dana Howell,31,"Harrisport, Cameroon",Non-binary,2816.86,20505.47,4201.69,584.83,Gold,Debt Management,Debt Reduction,Seeking Further Consultation,Neutral,Neutral,Moderate
Garrett Alexander,32,"Angieside, New Zealand",Male,6170.0,99333.72,1622.76,2448.57,Real Estate,Retirement Planning,Retirement Fund Building,Partially Implemented,Neutral,Unsatisfied,Moderate
Cheryl Day,47,"Burnsview, Solomon Islands",Female,6476.38,68747.19,0.0,706.2,Fixed Deposits,Tax Planning,Retirement Fund Building,Partially Implemented,Very Satisfied,Very Unsatisfied,High
Veronica Trevino,20,"Mcclureville, Canada",Non-binary,9695.82,9297.55,0.0,1750.42,Cryptocurrency,Debt Management,Tax Savings,Not Implemented,Satisfied,Unsatisfied,High
Megan Torres,36,"Davidside, Estonia",Non-binary,9051.97,87018.98,2276.9,2309.25,Fixed Deposits,Investment Strategy,Debt Reduction,Partially Implemented,Unsatisfied,Very Satisfied,High
Peter Cline,19,"Kellyland, Fiji",Male,7285.32,49434.41,0.0,3929.58,Mutual Funds,Retirement Planning,Increase Savings,Implemented,Very Unsatisfied,Very Unsatisfied,High
Samantha Carter,21,"Lake Jacob, Equatorial Guinea",Male,3722.19,9264.81,0.0,1078.24,Gold,Retirement Planning,High ROI Investments,Partially Implemented,Unsatisfied,Very Satisfied,High
Darrell Gardner,66,"South Johnfort, Malaysia",Female,8543.92,45198.69,0.0,3207.59,Real Estate,Tax Planning,Tax Savings,Partially Implemented,Satisfied,Satisfied,High
Tyler Gillespie,36,"West Audrey, Benin",Male,6197.61,27406.97,131.25,3987.12,Cryptocurrency,Debt Management,Increase Savings,Implemented,Very Satisfied,Unsatisfied,High
James Monroe,64,"Erikburgh, Northern Mariana Islands",Non-binary,7813.51,66521.64,0.0,674.05,Gold,Tax Planning,Increase Savings,Seeking Further Consultation,Very Satisfied,Satisfied,Moderate
Anita Byrd,67,"Wilkersonborough, Anguilla",Male,2954.86,84785.36,0.0,4097.61,Bonds,Investment Strategy,Increase Savings,Implemented,Very Satisfied,Satisfied,High
Sheila Crawford,48,"Patrickchester, Gibraltar",Female,5446.19,38009.66,0.0,4326.95,Fixed Deposits,Tax Planning,Increase Savings,Seeking Further Consultation,Unsatisfied,Unsatisfied,Moderate
Elizabeth Garcia,19,"South Jillianfort, Antarctica (the territory South of 60 deg S)",Female,7586.96,36483.25,2435.72,2870.97,Cryptocurrency,Tax Planning,Retirement Fund Building,Implemented,Very Unsatisfied,Satisfied,High
Joseph Hartman,44,"West Cynthia, Ghana",Non-binary,6618.67,73013.99,3863.01,4237.35,Cryptocurrency,Savings Plan,Debt Reduction,Implemented,Unsatisfied,Unsatisfied,High
Alexander Torres,57,"West Tamara, Turks and Caicos Islands",Male,4985.66,8583.79,0.0,3180.17,Real Estate,Debt Management,Retirement Fund Building,Not Implemented,Satisfied,Unsatisfied,Moderate
Abigail Pierce,54,"Gibsontown, France",Non-binary,9882.85,94776.07,0.0,2729.63,Mutual Funds,Savings Plan,High ROI Investments,Implemented,Unsatisfied,Very Satisfied,High
Richard Wagner,69,"Clarkmouth, Nigeria",Male,2258.31,20049.8,3347.93,2308.15,Mutual Funds,Debt Management,Debt Reduction,Partially Implemented,Very Unsatisfied,Very Unsatisfied,Low
Jorge Madden,51,"West Sharonberg, British Indian Ocean Territory (Chagos Archipelago)",Female,4834.53,27310.47,1222.23,3292.13,Real Estate,Tax Planning,Debt Reduction,Implemented,Very Satisfied,Neutral,Low
Angela Cohen,18,"Watkinsstad, Andorra",Female,7168.44,17737.67,4894.12,3365.16,Fixed Deposits,Savings Plan,High ROI Investments,Implemented,Very Unsatisfied,Very Unsatisfied,High
Stephanie Middleton,70,"Lake Christopherborough, Niger",Non-binary,9223.48,97462.33,408.11,4718.05,Stocks,Tax Planning,Tax Savings,Seeking Further Consultation,Very Satisfied,Unsatisfied,High
Devin Simmons,36,"Ricardoshire, Albania",Non-binary,5483.51,28896.4,4374.87,4496.97,Stocks,Debt Management,Increase Savings,Seeking Further Consultation,Very Satisfied,Very Unsatisfied,Moderate
Mrs. Kelly Murphy,70,"Elizabethside, Burkina Faso",Male,6579.67,73752.15,2914.41,4073.73,Stocks,Debt Management,Tax Savings,Partially Implemented,Very Unsatisfied,Very Satisfied,Low
Dale Pace MD,68,"Port Jamesport, Micronesia",Female,8590.49,76078.84,0.0,1420.67,Gold,Retirement Planning,Debt Reduction,Implemented,Neutral,Very Unsatisfied,High
Tamara Baker,50,"Cameronbury, Senegal",Male,3544.86,79155.26,0.0,2801.14,Real Estate,Debt Management,Debt Reduction,Partially Implemented,Neutral,Unsatisfied,High
Kristen Hunt,63,"North Phillip, Anguilla",Male,9909.44,84817.78,0.0,3192.64,Mutual Funds,Tax Planning,Retirement Fund Building,Seeking Further Consultation,Very Satisfied,Satisfied,Low
Logan Shaw,67,"New Angela, Belarus",Non-binary,5933.92,14045.18,0.0,4751.98,Mutual Funds,Debt Management,Debt Reduction,Seeking Further Consultation,Satisfied,Very Satisfied,Low
Sheila Leach,31,"Nathanielview, Mexico",Female,4677.38,59388.17,4576.29,3832.95,Mutual Funds,Investment Strategy,Increase Savings,Seeking Further Consultation,Very Satisfied,Unsatisfied,Low
Tony Benson,26,"Ryanview, United Arab Emirates",Non-binary,2648.08,42123.85,2624.0,4301.75,Mutual Funds,Debt Management,Retirement Fund Building,Seeking Further Consultation,Satisfied,Neutral,High
James Brooks,22,"Jasonport, Malawi",Male,7637.08,24833.23,3777.17,3851.09,Stocks,Tax Planning,Increase Savings,Not Implemented,Unsatisfied,Neutral,Low
Michael Bowers,39,"West Joshua, Iraq",Female,2600.17,22239.4,1184.2,4418.43,Stocks,Retirement Planning,Increase Savings,Not Implemented,Satisfied,Very Satisfied,Moderate
Jeanette Smith,57,"Elizabethfort, Timor-Leste",Male,5782.28,21715.59,4130.34,1012.67,Real Estate,Tax Planning,High ROI Investments,Implemented,Neutral,Unsatisfied,Moderate
Tonya Carrillo,36,"West Mary, Jersey",Female,8450.48,38396.05,3872.46,1805.8,Stocks,Retirement Planning,Debt Reduction,Seeking Further Consultation,Very Satisfied,Very Satisfied,Moderate
Daniel Stokes,45,"Heatherview, Mauritania",Female,5923.08,5748.77,0.0,4686.44,Fixed Deposits,Retirement Planning,Debt Reduction,Seeking Further Consultation,Neutral,Satisfied,Moderate
Benjamin Atkins,30,"Bowmanview, Norfolk Island",Female,5963.82,37806.31,2087.56,3696.82,Stocks,Debt Management,Tax Savings,Not Implemented,Neutral,Very Satisfied,High
Heather Adams,40,"West Jessemouth, Mozambique",Female,5492.64,78419.9,4776.46,1007.31,Fixed Deposits,Debt Management,Increase Savings,Partially Implemented,Very Unsatisfied,Very Unsatisfied,Moderate
Diana Hughes,68,"Lawrenceshire, Mauritania",Male,9269.54,74388.84,0.0,3871.52,Stocks,Savings Plan,Increase Savings,Implemented,Unsatisfied,Satisfied,Low
Christopher Krueger,66,"North Michaelbury, Norway",Male,6181.59,76978.79,4845.49,2380.94,Gold,Debt Management,Debt Reduction,Partially Implemented,Very Satisfied,Neutral,Moderate
Janet Brennan,33,"South Michaelfurt, Lao People's Democratic Republic",Non-binary,2861.64,29968.03,1886.62,4470.7,Gold,Debt Management,Debt Reduction,Not Implemented,Satisfied,Very Satisfied,Low
Michael Schaefer,22,"New Melissabury, Namibia",Non-binary,7771.26,22533.49,0.0,4060.46,Stocks,Savings Plan,Debt Reduction,Not Implemented,Very Satisfied,Neutral,Low
Elizabeth Allen,52,"South Justin, Barbados",Non-binary,9970.47,37018.96,3055.59,4171.63,Mutual Funds,Savings Plan,Tax Savings,Partially Implemented,Very Unsatisfied,Unsatisfied,High
Lorraine Ferguson,24,"Lake David, French Polynesia",Male,6354.67,76429.68,0.0,1879.06,Mutual Funds,Tax Planning,Debt Reduction,Partially Implemented,Neutral,Satisfied,High
Joyce Walker,63,"Fischerborough, Fiji",Non-binary,2173.38,85190.72,0.0,4573.33,Stocks,Retirement Planning,High ROI Investments,Seeking Further Consultation,Very Satisfied,Very Unsatisfied,Moderate
Bethany Hughes,65,"West Lawrence, French Polynesia",Male,5378.32,67404.91,0.0,3461.22,Stocks,Retirement Planning,Retirement Fund Building,Implemented,Very Satisfied,Satisfied,Moderate
Melvin Baker,63,"Bradleyborough, United States Virgin Islands",Non-binary,8392.05,73180.12,2219.79,2261.69,Fixed Deposits,Debt Management,Increase Savings,Seeking Further Consultation,Neutral,Very Unsatisfied,Moderate
Travis Lee,44,"New Christopher, Saint Martin",Female,6630.11,26589.11,90.56,1881.18,Bonds,Investment Strategy,Debt Reduction,Partially Implemented,Satisfied,Neutral,Low
Gregory Ross,29,"South Robertburgh, Philippines",Male,3988.43,79108.13,1074.18,666.76,Gold,Savings Plan,Debt Reduction,Not Implemented,Very Satisfied,Satisfied,High
Alisha Brewer,25,"Tarahaven, Belarus",Non-binary,5354.84,60848.12,0.0,2257.41,Bonds,Tax Planning,Debt Reduction,Seeking Further Consultation,Unsatisfied,Very Unsatisfied,Low
Devon Parker,25,"East Jamiefurt, United States Minor Outlying Islands",Male,8705.58,24048.11,0.0,4576.32,Real Estate,Debt Management,Debt Reduction,Partially Implemented,Very Unsatisfied,Unsatisfied,High
Heather Barnett,35,"Josephland, Tuvalu",Female,6911.12,59127.02,310.44,3427.27,Cryptocurrency,Tax Planning,Debt Reduction,Partially Implemented,Very Satisfied,Very Satisfied,Low
Justin Wolfe,41,"Williamsshire, Antigua and Barbuda",Female,9016.66,51841.33,0.0,4928.97,Fixed Deposits,Debt Management,High ROI Investments,Partially Implemented,Neutral,Satisfied,High
Amanda Brown,66,"Alisonmouth, Colombia",Female,5726.87,69146.47,0.0,2564.32,Fixed Deposits,Investment Strategy,Increase Savings,Partially Implemented,Very Unsatisfied,Very Unsatisfied,Moderate
Heather Mitchell,54,"Shawnview, Central African Republic",Non-binary,6835.85,61176.07,0.0,3552.46,Cryptocurrency,Tax Planning,High ROI Investments,Not Implemented,Neutral,Very Unsatisfied,Low
Cynthia Peck,39,"East James, Saint Kitts and Nevis",Male,8125.0,29528.01,1855.57,4288.43,Cryptocurrency,Retirement Planning,Retirement Fund Building,Implemented,Satisfied,Very Unsatisfied,Moderate
Dr. Angela Lyons MD,33,"West Steven, China",Male,2974.86,75747.58,4143.73,1219.59,Stocks,Investment Strategy,Tax Savings,Partially Implemented,Satisfied,Very Satisfied,High
Richard Harmon,32,"North Josephfurt, Namibia",Male,2202.98,80645.74,3246.58,4665.6,Real Estate,Debt Management,Retirement Fund Building,Seeking Further Consultation,Unsatisfied,Very Satisfied,Low
