Name,Age,Nationality,Travel Preference,Loyalty Program Status,Past Travel Detail,Payment Detail,Booking Pattern,User Feedback
Allison Banks,34,Kyrgyz Republic,Business,Silver,"{'destination': 'Moranton', 'duration': '11 days', 'hotel_stay': 'Robinson, Frost and Williams', 'activity': 'Hiking'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2023, 1, 2), 'amount': '$2530'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Unsatisfied', 'rating': 4, 'comments': 'Major speech together scene approach both drug.'}"
William Montgomery,48,San Marino,Budget,Platinum,"{'destination': 'Lawsonshire', 'duration': '10 days', 'hotel_stay': 'Newman and Sons', 'activity': 'Museum visit'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2021, 7, 20), 'amount': '$5280'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Neutral', 'rating': 5, 'comments': 'Trial civil city base.'}"
Rachel Smith MD,35,Norfolk Island,Adventure,Platinum,"{'destination': 'Christopherbury', 'duration': '5 days', 'hotel_stay': 'Lopez, Bishop and Soto', 'activity': 'Hiking'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2021, 7, 15), 'amount': '$7358'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 5, 'comments': 'Successful least politics idea.'}"
Michael Meyers,32,Mayotte,Luxury,Bronze,"{'destination': 'Yolandaview', 'duration': '4 days', 'hotel_stay': 'Carey-Galloway', 'activity': 'Beach'}","{'method': 'PayPal', 'transaction_date': datetime.date(2022, 8, 10), 'amount': '$646'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Neutral', 'rating': 1, 'comments': 'Say as memory recognize.'}"
Michele Gray,27,United States Virgin Islands,Eco-friendly,Gold,"{'destination': 'Gonzaleztown', 'duration': '2 days', 'hotel_stay': 'Lewis, Martinez and Fernandez', 'activity': 'Hiking'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2021, 8, 29), 'amount': '$1535'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 3, 'comments': 'Remain forward scene hold could.'}"
Mary Horton,31,Serbia,Business,Bronze,"{'destination': 'Castillostad', 'duration': '9 days', 'hotel_stay': 'Cox-Sellers', 'activity': 'Hiking'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2021, 12, 27), 'amount': '$3625'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Unsatisfied', 'rating': 1, 'comments': 'Remember actually success war theory some save.'}"
Laura Lester,52,Guyana,Budget,Silver,"{'destination': 'Amyhaven', 'duration': '13 days', 'hotel_stay': 'Campbell, Meadows and Moore', 'activity': 'Sightseeing'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2023, 2, 18), 'amount': '$4243'}","{'booking_frequency': '2 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Neutral', 'rating': 5, 'comments': 'Situation treatment attention already.'}"
Kayla Jones,26,Korea,Business,Silver,"{'destination': 'Lake Brandonland', 'duration': '6 days', 'hotel_stay': 'Wiley-Pugh', 'activity': 'Sightseeing'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2020, 7, 19), 'amount': '$3984'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Neutral', 'rating': 4, 'comments': 'Bad ten field involve wind office local.'}"
James Lee,45,Nigeria,Cultural,Silver,"{'destination': 'East Heatherfort', 'duration': '13 days', 'hotel_stay': 'Shepard, Snyder and Bradley', 'activity': 'Museum visit'}","{'method': 'PayPal', 'transaction_date': datetime.date(2023, 9, 4), 'amount': '$9712'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Neutral', 'rating': 4, 'comments': 'Know fine rest region some control.'}"
Christopher Fritz,25,South Georgia and the South Sandwich Islands,Luxury,Platinum,"{'destination': 'Lake Kathleen', 'duration': '1 days', 'hotel_stay': 'Martinez, Martinez and Wyatt', 'activity': 'Beach'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2020, 6, 21), 'amount': '$629'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Neutral', 'rating': 5, 'comments': 'Collection put force ok mission bag serious.'}"
Terry Hunt,18,Taiwan,Business,Bronze,"{'destination': 'New Maryborough', 'duration': '2 days', 'hotel_stay': 'Murray-Cummings', 'activity': 'Shopping'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2021, 6, 11), 'amount': '$7072'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Very Satisfied', 'rating': 3, 'comments': 'Answer plant he bring network.'}"
Donald Ramirez,35,Trinidad and Tobago,Luxury,Bronze,"{'destination': 'Cruzview', 'duration': '12 days', 'hotel_stay': 'Gonzalez, Callahan and Ellis', 'activity': 'Sightseeing'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2023, 1, 4), 'amount': '$7105'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Very Satisfied', 'rating': 2, 'comments': 'Lose program street health wait.'}"
Brenda Goodman,51,Guinea,Luxury,Platinum,"{'destination': 'Morenomouth', 'duration': '12 days', 'hotel_stay': 'Paul Ltd', 'activity': 'Museum visit'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2021, 8, 12), 'amount': '$1343'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Satisfied', 'rating': 4, 'comments': 'Effect food learn.'}"
Nicole Santiago,24,Egypt,Business,Platinum,"{'destination': 'Melissashire', 'duration': '1 days', 'hotel_stay': 'Bass Group', 'activity': 'Shopping'}","{'method': 'PayPal', 'transaction_date': datetime.date(2023, 5, 10), 'amount': '$7968'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Very Satisfied', 'rating': 5, 'comments': 'Red history real sea.'}"
Sheri Lopez,19,Togo,Luxury,Silver,"{'destination': 'Andersonberg', 'duration': '7 days', 'hotel_stay': 'Medina, Dunn and Kelly', 'activity': 'Shopping'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2020, 12, 13), 'amount': '$2269'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 5, 'comments': 'Including director street arm house rather cultural.'}"
Darius Sullivan,41,Ukraine,Eco-friendly,Platinum,"{'destination': 'Williamsville', 'duration': '9 days', 'hotel_stay': 'Porter, Weber and Williams', 'activity': 'Local cuisine tasting'}","{'method': 'PayPal', 'transaction_date': datetime.date(2021, 6, 21), 'amount': '$7612'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Unsatisfied', 'rating': 3, 'comments': 'Season meeting simple blood.'}"
Melissa Frey,50,Liechtenstein,Budget,Gold,"{'destination': 'Doyleport', 'duration': '5 days', 'hotel_stay': 'Hernandez Inc', 'activity': 'Local cuisine tasting'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2022, 12, 31), 'amount': '$9030'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Neutral', 'rating': 2, 'comments': 'Continue factor industry person investment.'}"
Ricardo Park,36,Hong Kong,Luxury,Silver,"{'destination': 'West Joshuaberg', 'duration': '8 days', 'hotel_stay': 'Douglas, Pacheco and Stephens', 'activity': 'Shopping'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2020, 3, 28), 'amount': '$4689'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 4, 'comments': 'Seem not consider after.'}"
Jennifer Benitez,42,Bermuda,Luxury,Platinum,"{'destination': 'New Timothymouth', 'duration': '7 days', 'hotel_stay': 'Gardner, Juarez and Henry', 'activity': 'Museum visit'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2021, 3, 6), 'amount': '$8755'}","{'booking_frequency': '2 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 3, 'comments': 'Cell worry state change.'}"
Sean Chandler,51,South Africa,Cultural,Platinum,"{'destination': 'New Brittanymouth', 'duration': '10 days', 'hotel_stay': 'Hanson-Smith', 'activity': 'Shopping'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2021, 2, 22), 'amount': '$362'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 1, 'comments': 'Public theory history challenge write relate education.'}"
Dalton Mathews,25,Mauritius,Luxury,Gold,"{'destination': 'Charlesview', 'duration': '12 days', 'hotel_stay': 'Mcintosh and Sons', 'activity': 'Museum visit'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2022, 5, 27), 'amount': '$895'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Satisfied', 'rating': 5, 'comments': 'Issue any region wish.'}"
Stephanie Ellis,60,Ecuador,Business,Bronze,"{'destination': 'South Russell', 'duration': '6 days', 'hotel_stay': 'Lewis-Cook', 'activity': 'Local cuisine tasting'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2021, 7, 1), 'amount': '$8049'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 4, 'comments': 'Test lawyer message money camera.'}"
Aaron Banks,27,Algeria,Luxury,Bronze,"{'destination': 'West Davidmouth', 'duration': '11 days', 'hotel_stay': 'Jackson and Sons', 'activity': 'Local cuisine tasting'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2020, 12, 29), 'amount': '$1472'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Unsatisfied', 'rating': 2, 'comments': 'Author bit film plant some work.'}"
Mercedes Williams,45,Nauru,Budget,Silver,"{'destination': 'Nelsonborough', 'duration': '4 days', 'hotel_stay': 'Hess-Webb', 'activity': 'Beach'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2022, 11, 11), 'amount': '$9505'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 2, 'comments': 'Agent away yourself major.'}"
Elizabeth King,32,Canada,Eco-friendly,Gold,"{'destination': 'Thomaston', 'duration': '3 days', 'hotel_stay': 'Hendrix-Hopkins', 'activity': 'Sightseeing'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2021, 12, 17), 'amount': '$276'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Very Satisfied', 'rating': 4, 'comments': 'Few attorney worry court else hold head.'}"
Chelsea Sharp,55,Eritrea,Eco-friendly,Silver,"{'destination': 'Port Janicestad', 'duration': '6 days', 'hotel_stay': 'Conner, Stevenson and Carter', 'activity': 'Museum visit'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2021, 1, 2), 'amount': '$8324'}","{'booking_frequency': '2 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Satisfied', 'rating': 3, 'comments': 'Single group eight wind voice.'}"
Derek Parker,51,Liechtenstein,Adventure,Silver,"{'destination': 'Lake Michael', 'duration': '14 days', 'hotel_stay': 'Fields-Hale', 'activity': 'Local cuisine tasting'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2022, 6, 23), 'amount': '$449'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 1, 'comments': 'Everybody box program expert difference.'}"
John Dyer,29,Brazil,Adventure,Bronze,"{'destination': 'Robertfort', 'duration': '10 days', 'hotel_stay': 'Harper Ltd', 'activity': 'Beach'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2022, 5, 4), 'amount': '$6451'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Unsatisfied', 'rating': 2, 'comments': 'Skill do personal history physical.'}"
Brett Brown,54,Rwanda,Luxury,Platinum,"{'destination': 'Mandyburgh', 'duration': '10 days', 'hotel_stay': 'Grimes PLC', 'activity': 'Local cuisine tasting'}","{'method': 'PayPal', 'transaction_date': datetime.date(2023, 3, 31), 'amount': '$6502'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Very Satisfied', 'rating': 2, 'comments': 'Company scene matter weight study condition.'}"
Julie Snyder,27,El Salvador,Adventure,Silver,"{'destination': 'North Bobbymouth', 'duration': '6 days', 'hotel_stay': 'Smith Ltd', 'activity': 'Local cuisine tasting'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2022, 1, 28), 'amount': '$1485'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Very Satisfied', 'rating': 1, 'comments': 'Pay building the feeling apply.'}"
Eric Bennett,47,China,Business,Platinum,"{'destination': 'Mcgeeland', 'duration': '1 days', 'hotel_stay': 'Dougherty, May and Adams', 'activity': 'Sightseeing'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2023, 3, 22), 'amount': '$9610'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Unsatisfied', 'rating': 2, 'comments': 'Generation nation everything remember citizen financial manager.'}"
Cindy Villarreal MD,39,Samoa,Luxury,Bronze,"{'destination': 'East Kevin', 'duration': '3 days', 'hotel_stay': 'Wilkinson Group', 'activity': 'Sightseeing'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2020, 4, 22), 'amount': '$5704'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 3, 'comments': 'Song great world toward issue soldier west.'}"
Anita Edwards,46,Thailand,Business,Silver,"{'destination': 'New Matthewbury', 'duration': '7 days', 'hotel_stay': 'Doyle PLC', 'activity': 'Hiking'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2020, 5, 27), 'amount': '$3176'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Satisfied', 'rating': 3, 'comments': 'Word customer team this since.'}"
Kristina Johnson,56,Syrian Arab Republic,Luxury,Gold,"{'destination': 'Rodriguezmouth', 'duration': '7 days', 'hotel_stay': 'Payne-Campbell', 'activity': 'Hiking'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2020, 3, 3), 'amount': '$9977'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 5, 'comments': 'Culture daughter suddenly baby other night oil military.'}"
Michael Reed,29,Somalia,Luxury,Bronze,"{'destination': 'Travischester', 'duration': '9 days', 'hotel_stay': 'Gallegos-Mcdonald', 'activity': 'Museum visit'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2020, 8, 28), 'amount': '$287'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Satisfied', 'rating': 1, 'comments': 'Goal responsibility white show same food happen responsibility.'}"
Kristin Douglas,29,Cambodia,Luxury,Silver,"{'destination': 'Smithport', 'duration': '9 days', 'hotel_stay': 'Johnson Ltd', 'activity': 'Museum visit'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2020, 2, 9), 'amount': '$2860'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Very Satisfied', 'rating': 5, 'comments': 'East purpose assume inside have single.'}"
Justin Johnson,20,Thailand,Adventure,Silver,"{'destination': 'West Samanthaland', 'duration': '7 days', 'hotel_stay': 'Jarvis, Johnson and Taylor', 'activity': 'Beach'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2022, 7, 4), 'amount': '$7223'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Satisfied', 'rating': 5, 'comments': 'Fine partner whose study medical story.'}"
James Miller,28,Guatemala,Cultural,Silver,"{'destination': 'Susanview', 'duration': '11 days', 'hotel_stay': 'Roth, Giles and Martinez', 'activity': 'Local cuisine tasting'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2023, 10, 3), 'amount': '$9118'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Unsatisfied', 'rating': 5, 'comments': 'Yes hold necessary nice discuss station.'}"
Donna Arias,25,Venezuela,Budget,Silver,"{'destination': 'East Franklinbury', 'duration': '3 days', 'hotel_stay': 'Washington, Boone and Jones', 'activity': 'Beach'}","{'method': 'PayPal', 'transaction_date': datetime.date(2021, 11, 29), 'amount': '$5146'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Neutral', 'rating': 2, 'comments': 'Send home guess rate.'}"
Ryan Scott,36,Pitcairn Islands,Eco-friendly,Platinum,"{'destination': 'West Taylor', 'duration': '8 days', 'hotel_stay': 'Mason, Shields and Richards', 'activity': 'Beach'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2022, 10, 27), 'amount': '$4255'}","{'booking_frequency': '2 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 5, 'comments': 'Population read hard loss security especially only talk.'}"
Barbara Burns,50,Bhutan,Business,Silver,"{'destination': 'North Jasonborough', 'duration': '9 days', 'hotel_stay': 'Larson, Orozco and Jones', 'activity': 'Local cuisine tasting'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2023, 7, 28), 'amount': '$2289'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Unsatisfied', 'rating': 5, 'comments': 'Will order me.'}"
Jeffrey Ortega,38,El Salvador,Adventure,Gold,"{'destination': 'Mitchellbury', 'duration': '3 days', 'hotel_stay': 'Wright-Taylor', 'activity': 'Hiking'}","{'method': 'PayPal', 'transaction_date': datetime.date(2023, 7, 26), 'amount': '$8669'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Satisfied', 'rating': 2, 'comments': 'Amount able his among whatever toward.'}"
Leslie Baker,22,Turkmenistan,Business,Platinum,"{'destination': 'Lucasberg', 'duration': '10 days', 'hotel_stay': 'Garcia, Rowland and Taylor', 'activity': 'Hiking'}","{'method': 'PayPal', 'transaction_date': datetime.date(2020, 11, 29), 'amount': '$8649'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Satisfied', 'rating': 5, 'comments': 'City believe most tree music.'}"
Monique Esparza,42,Norfolk Island,Luxury,Platinum,"{'destination': 'Sarahborough', 'duration': '11 days', 'hotel_stay': 'Vargas PLC', 'activity': 'Hiking'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2020, 1, 3), 'amount': '$3035'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Satisfied', 'rating': 1, 'comments': 'Call generation school really change officer.'}"
Heather Carrillo,52,Pitcairn Islands,Luxury,Platinum,"{'destination': 'New Kristina', 'duration': '12 days', 'hotel_stay': 'Daniels LLC', 'activity': 'Beach'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2021, 11, 20), 'amount': '$9016'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Neutral', 'rating': 1, 'comments': 'Student serious toward leg enjoy.'}"
Jay Richards,24,Benin,Eco-friendly,Bronze,"{'destination': 'Gordonchester', 'duration': '10 days', 'hotel_stay': 'Pugh Inc', 'activity': 'Museum visit'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2023, 10, 7), 'amount': '$9740'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Unsatisfied', 'rating': 5, 'comments': 'Where financial artist report deal lose.'}"
Mary Wright,18,Micronesia,Eco-friendly,Gold,"{'destination': 'Collinton', 'duration': '5 days', 'hotel_stay': 'Collier Ltd', 'activity': 'Shopping'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2023, 10, 21), 'amount': '$4895'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Neutral', 'rating': 3, 'comments': 'Create bit computer control throw too market.'}"
Elizabeth Sanchez,59,Russian Federation,Luxury,Bronze,"{'destination': 'Gloriamouth', 'duration': '13 days', 'hotel_stay': 'Patterson Ltd', 'activity': 'Hiking'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2023, 4, 14), 'amount': '$3072'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Neutral', 'rating': 4, 'comments': 'Poor friend can never simply require these.'}"
Bryan Freeman,45,Taiwan,Eco-friendly,Platinum,"{'destination': 'Jeffreyhaven', 'duration': '10 days', 'hotel_stay': 'Torres and Sons', 'activity': 'Museum visit'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2020, 7, 2), 'amount': '$7695'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Very Satisfied', 'rating': 1, 'comments': 'High over say style bad.'}"
Brandon Baker,29,Aruba,Eco-friendly,Silver,"{'destination': 'South Danielmouth', 'duration': '12 days', 'hotel_stay': 'Brown LLC', 'activity': 'Beach'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2021, 9, 25), 'amount': '$7195'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Very Satisfied', 'rating': 2, 'comments': 'Population floor ball fish her around.'}"
Evan Smith,59,Cyprus,Adventure,Bronze,"{'destination': 'Christophershire', 'duration': '14 days', 'hotel_stay': 'Sexton-Morgan', 'activity': 'Beach'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2021, 11, 18), 'amount': '$4662'}","{'booking_frequency': '1 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Satisfied', 'rating': 5, 'comments': 'I study situation interview.'}"
Melissa Carr,50,New Caledonia,Eco-friendly,Silver,"{'destination': 'Port Terri', 'duration': '13 days', 'hotel_stay': 'Jones-Williams', 'activity': 'Local cuisine tasting'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2023, 6, 3), 'amount': '$1138'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Neutral', 'rating': 5, 'comments': 'Now also while energy.'}"
Elizabeth Harvey,26,Northern Mariana Islands,Budget,Platinum,"{'destination': 'East Patricia', 'duration': '3 days', 'hotel_stay': 'Herrera Inc', 'activity': 'Local cuisine tasting'}","{'method': 'Debit Card', 'transaction_date': datetime.date(2022, 6, 16), 'amount': '$8413'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Neutral', 'rating': 1, 'comments': 'Over customer yet.'}"
Barbara Collins,33,Cyprus,Adventure,Platinum,"{'destination': 'North Karaborough', 'duration': '2 days', 'hotel_stay': 'Newton Group', 'activity': 'Local cuisine tasting'}","{'method': 'PayPal', 'transaction_date': datetime.date(2023, 6, 9), 'amount': '$8722'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Satisfied', 'rating': 2, 'comments': 'Service father language various material.'}"
Ryan Hardy,38,Nauru,Budget,Silver,"{'destination': 'Gibsontown', 'duration': '12 days', 'hotel_stay': 'Hendrix-Acosta', 'activity': 'Museum visit'}","{'method': 'PayPal', 'transaction_date': datetime.date(2022, 4, 20), 'amount': '$8207'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Very Unsatisfied', 'rating': 3, 'comments': 'Painting theory relate.'}"
Bethany Taylor,53,Greenland,Budget,Silver,"{'destination': 'Blackburnfort', 'duration': '8 days', 'hotel_stay': 'Allen Group', 'activity': 'Sightseeing'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2021, 10, 12), 'amount': '$6076'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Unsatisfied', 'rating': 5, 'comments': 'Study from international to there.'}"
Mary Vaughan,56,Somalia,Eco-friendly,Bronze,"{'destination': 'South Sallymouth', 'duration': '1 days', 'hotel_stay': 'Camacho, Williams and Ferguson', 'activity': 'Hiking'}","{'method': 'PayPal', 'transaction_date': datetime.date(2020, 12, 30), 'amount': '$5745'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Unsatisfied', 'rating': 1, 'comments': 'Evidence system last.'}"
Sharon Strickland,55,North Macedonia,Budget,Bronze,"{'destination': 'New Robert', 'duration': '5 days', 'hotel_stay': 'Wilcox Ltd', 'activity': 'Hiking'}","{'method': 'Credit Card', 'transaction_date': datetime.date(2022, 7, 27), 'amount': '$7831'}","{'booking_frequency': '4 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Very Satisfied', 'rating': 2, 'comments': 'Each teach in win.'}"
Daniel Rivers,27,Norfolk Island,Luxury,Gold,"{'destination': 'South Marilyn', 'duration': '11 days', 'hotel_stay': 'Martin LLC', 'activity': 'Shopping'}","{'method': 'PayPal', 'transaction_date': datetime.date(2022, 8, 3), 'amount': '$9021'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Unsatisfied', 'rating': 3, 'comments': 'Purpose trial far.'}"
Kimberly Green,51,Ethiopia,Budget,Bronze,"{'destination': 'South Kevin', 'duration': '5 days', 'hotel_stay': 'Atkinson-Fernandez', 'activity': 'Sightseeing'}","{'method': 'PayPal', 'transaction_date': datetime.date(2023, 4, 24), 'amount': '$1532'}","{'booking_frequency': '2 times/year', 'preferred_itinerary': '2 cities/trip'}","{'review': 'Unsatisfied', 'rating': 1, 'comments': 'Help simple article attention.'}"
Melinda Hays,55,Svalbard & Jan Mayen Islands,Budget,Silver,"{'destination': 'Sharonfort', 'duration': '11 days', 'hotel_stay': 'Small-Richards', 'activity': 'Local cuisine tasting'}","{'method': 'PayPal', 'transaction_date': datetime.date(2022, 12, 9), 'amount': '$1579'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Unsatisfied', 'rating': 2, 'comments': 'Would gun physical whole third lay with.'}"
Keith Smith,48,Nicaragua,Cultural,Platinum,"{'destination': 'South Hannahport', 'duration': '12 days', 'hotel_stay': 'Lopez-Davis', 'activity': 'Beach'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2020, 3, 25), 'amount': '$8518'}","{'booking_frequency': '3 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Very Satisfied', 'rating': 4, 'comments': 'Action special set floor worker because bit hundred.'}"
Mrs. Michelle Hebert,60,Ukraine,Budget,Platinum,"{'destination': 'North Johnbury', 'duration': '5 days', 'hotel_stay': 'Roy-Mata', 'activity': 'Sightseeing'}","{'method': 'Cryptocurrency', 'transaction_date': datetime.date(2023, 9, 7), 'amount': '$6573'}","{'booking_frequency': '2 times/year', 'preferred_itinerary': '1 cities/trip'}","{'review': 'Unsatisfied', 'rating': 2, 'comments': 'Quality ago lawyer nation among eye woman.'}"
Lauren Price,31,Saint Helena,Eco-friendly,Platinum,"{'destination': 'West Tracyberg', 'duration': '7 days', 'hotel_stay': 'Stanton, Rice and Fernandez', 'activity': 'Local cuisine tasting'}","{'method': 'PayPal', 'transaction_date': datetime.date(2021, 2, 22), 'amount': '$8498'}","{'booking_frequency': '5 times/year', 'preferred_itinerary': '3 cities/trip'}","{'review': 'Satisfied', 'rating': 1, 'comments': 'Board notice member charge treat.'}"
