Name,Age,Location,Allergens,Dietary Restriction,Dining Experience,User Interaction
Donna Hill,54,South Jessicaview,"['Fish', 'Tree nuts', 'Wheat']",Vegetarian,"{'restaurant_name': 'Roberts, Jimenez and Chapman', 'meal_type': 'Main Course', 'menu_selection': 'Special two truth kitchen consumer.', 'special_requests': 'Fish, Tree nuts, Wheat', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Evidence season tree argue.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Most Details Public'}"
Charles Moore,25,Port Jenniferland,[],Halal,"{'restaurant_name': 'Steele-Kelley', 'meal_type': 'Drink', 'menu_selection': 'Make walk west beautiful nearly such control.', 'special_requests': 'None', 'feedback': 'Neutral'}","{'staff_interaction': 'Live Congress despite share industry dark tough phone.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 1}, 'privacy_setting': 'Profile Public'}"
Danny Martinez,52,Phamview,['Wheat'],Gluten Free,"{'restaurant_name': 'Joyce-Spencer', 'meal_type': 'Dessert', 'menu_selection': 'Them size seat large difference fish conference.', 'special_requests': 'Wheat', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Identify themselves program street bring laugh.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 1}, 'privacy_setting': 'Profile Public'}"
Thomas Davis,43,North Andreashire,"['Fish', 'Shellfish']",Keto,"{'restaurant_name': 'Sanchez, Burns and Haas', 'meal_type': 'Dessert', 'menu_selection': 'Best someone hand peace.', 'special_requests': 'Fish, Shellfish', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Rest early goal whether customer man.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 3}, 'privacy_setting': 'Profile Private'}"
Brian Holmes,20,West Elizabeth,[],Vegetarian,"{'restaurant_name': 'Mcdonald PLC', 'meal_type': 'Main Course', 'menu_selection': 'Budget step somebody.', 'special_requests': 'None', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Court less health.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Some Details Public'}"
Kimberly Martin,35,Henryhaven,"['Fish', 'Peanuts', 'Egg']",Kosher,"{'restaurant_name': 'Webster PLC', 'meal_type': 'Dessert', 'menu_selection': 'Writer suggest agreement professional lot fire.', 'special_requests': 'Fish, Peanuts, Egg', 'feedback': 'Neutral'}","{'staff_interaction': 'Mean catch very yes detail blood.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 3}, 'privacy_setting': 'Most Details Public'}"
Madison Peterson,60,Cristianstad,"['Egg', 'Tree nuts']",Keto,"{'restaurant_name': 'Rose, Washington and Roth', 'meal_type': 'Main Course', 'menu_selection': 'No memory find notice clearly Congress central pass.', 'special_requests': 'Egg, Tree nuts', 'feedback': 'Neutral'}","{'staff_interaction': 'Garden great challenge raise although thought.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Most Details Public'}"
Lauren Hernandez,34,South Mary,[],Vegan,"{'restaurant_name': 'Anderson, Salinas and Johnson', 'meal_type': 'Dessert', 'menu_selection': 'Hotel individual among practice vote say.', 'special_requests': 'None', 'feedback': 'Neutral'}","{'staff_interaction': 'Whatever might everybody blood difference.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 5}, 'privacy_setting': 'Most Details Public'}"
Yvonne Pham,34,Port Coreystad,[],Vegetarian,"{'restaurant_name': 'Sullivan-Johnson', 'meal_type': 'Dessert', 'menu_selection': 'Best will dog glass production point type.', 'special_requests': 'None', 'feedback': 'Neutral'}","{'staff_interaction': 'Other deal us various close.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Profile Private'}"
Natalie Miller,42,Bakertown,"['Peanuts', 'Egg', 'Wheat']",Gluten Free,"{'restaurant_name': 'Miller-Gutierrez', 'meal_type': 'Starter', 'menu_selection': 'Blood list specific result TV project minute.', 'special_requests': 'Peanuts, Egg, Wheat', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Remain four receive bag.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 3}, 'privacy_setting': 'Profile Private'}"
Savannah Mcdaniel,47,Alanbury,['Tree nuts'],Kosher,"{'restaurant_name': 'Sharp, Woodward and Mclaughlin', 'meal_type': 'Drink', 'menu_selection': 'Reality more tax meet half really point.', 'special_requests': 'Tree nuts', 'feedback': 'Neutral'}","{'staff_interaction': 'Partner less usually hair such point see.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Profile Private'}"
Brian Gonzales,43,Port Beverly,"['Milk', 'Shellfish']",Vegetarian,"{'restaurant_name': 'Blair, Neal and Dawson', 'meal_type': 'Drink', 'menu_selection': 'All kid out read defense today issue medical.', 'special_requests': 'Milk, Shellfish', 'feedback': 'Neutral'}","{'staff_interaction': 'Hear miss Democrat year can detail even close.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 1}, 'privacy_setting': 'Profile Public'}"
Julie Taylor,53,New James,['Tree nuts'],Keto,"{'restaurant_name': 'Bennett, Richardson and Foster', 'meal_type': 'Main Course', 'menu_selection': 'Risk travel control either.', 'special_requests': 'Tree nuts', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Hot hot relate five later care check.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Profile Private'}"
Valerie Williams,52,Port Tonyberg,['Fish'],Vegan,"{'restaurant_name': 'Kennedy, Haynes and Mercer', 'meal_type': 'Starter', 'menu_selection': 'Southern white detail leave.', 'special_requests': 'Fish', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Number natural member people.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Profile Public'}"
Anthony Perry,22,Hernandezview,"['Egg', 'Peanuts', 'Soy']",Low Fat,"{'restaurant_name': 'Juarez, Williams and Patel', 'meal_type': 'Dessert', 'menu_selection': 'See drive bit leader true.', 'special_requests': 'Egg, Peanuts, Soy', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'During none travel you.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 2}, 'privacy_setting': 'Profile Private'}"
Erik Owen,60,Simmonsville,[],Halal,"{'restaurant_name': 'Joseph and Sons', 'meal_type': 'Drink', 'menu_selection': 'Word produce call understand education trade which security.', 'special_requests': 'None', 'feedback': 'Satisfied'}","{'staff_interaction': 'Trouble soldier wonder star make who fish star.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Most Details Public'}"
Aimee Larson,21,East Robert,[],Gluten Free,"{'restaurant_name': 'Alexander-Berry', 'meal_type': 'Starter', 'menu_selection': 'Sign during job rather.', 'special_requests': 'None', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Scene and citizen travel.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 2}, 'privacy_setting': 'Some Details Public'}"
Justin Hancock,58,New Shannon,['Shellfish'],Halal,"{'restaurant_name': 'Copeland-Wilson', 'meal_type': 'Drink', 'menu_selection': 'Food father under structure or.', 'special_requests': 'Shellfish', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Institution remain field time.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 1}, 'privacy_setting': 'Some Details Public'}"
Sara Robinson,35,West Chelseaton,"['Shellfish', 'Peanuts']",Vegan,"{'restaurant_name': 'Dixon-Andrews', 'meal_type': 'Drink', 'menu_selection': 'As follow threat every else.', 'special_requests': 'Shellfish, Peanuts', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Camera lot two reveal hot especially these.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 3}, 'privacy_setting': 'Some Details Public'}"
David Stewart,29,Krystalton,"['Peanuts', 'Egg']",Halal,"{'restaurant_name': 'Holland-Gonzalez', 'meal_type': 'Dessert', 'menu_selection': 'Future professor tell place.', 'special_requests': 'Peanuts, Egg', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Although course unit no hair want.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 1}, 'privacy_setting': 'Profile Private'}"
Vanessa Hayes,54,Davidborough,['Soy'],Gluten Free,"{'restaurant_name': 'Anderson-Ware', 'meal_type': 'Drink', 'menu_selection': 'Region office century rate.', 'special_requests': 'Soy', 'feedback': 'Neutral'}","{'staff_interaction': 'Run memory member try you position everything follow.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 5}, 'privacy_setting': 'Profile Private'}"
Holly Frazier,28,Christinaborough,[],Halal,"{'restaurant_name': 'Jennings-Mccall', 'meal_type': 'Drink', 'menu_selection': 'Increase new base nation bit safe.', 'special_requests': 'None', 'feedback': 'Satisfied'}","{'staff_interaction': 'Information item effect still ready issue front.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 5}, 'privacy_setting': 'Some Details Public'}"
James Stout,50,Rollinsshire,"['Wheat', 'Soy']",Kosher,"{'restaurant_name': 'Woods-Smith', 'meal_type': 'Main Course', 'menu_selection': 'Night yard recent job against employee.', 'special_requests': 'Wheat, Soy', 'feedback': 'Satisfied'}","{'staff_interaction': 'Money decision finish performance old imagine machine.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 5}, 'privacy_setting': 'Some Details Public'}"
Michael Rich,41,South Cherylmouth,"['Tree nuts', 'Shellfish', 'Egg']",Halal,"{'restaurant_name': 'Liu-Ballard', 'meal_type': 'Dessert', 'menu_selection': 'Decade result consider police first somebody decide.', 'special_requests': 'Tree nuts, Shellfish, Egg', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Republican hotel level similar.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 1}, 'privacy_setting': 'Profile Public'}"
Kelly Ortiz,35,Matthewchester,"['Wheat', 'Fish', 'Tree nuts']",Halal,"{'restaurant_name': 'Nicholson PLC', 'meal_type': 'Drink', 'menu_selection': 'Question blood seem parent.', 'special_requests': 'Wheat, Fish, Tree nuts', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Pretty option treat size simply interview explain.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 5}, 'privacy_setting': 'Most Details Public'}"
Terri Taylor,19,South Jamesport,[],Keto,"{'restaurant_name': 'Vance, Rice and Perkins', 'meal_type': 'Starter', 'menu_selection': 'Project some point each along artist will.', 'special_requests': 'None', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Young car skill modern trouble week against.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 3}, 'privacy_setting': 'Profile Private'}"
Lauren Lynch,55,East Lauraport,"['Wheat', 'Egg', 'Soy']",Halal,"{'restaurant_name': 'Riddle, Guzman and Ward', 'meal_type': 'Main Course', 'menu_selection': 'Long accept thank people.', 'special_requests': 'Wheat, Egg, Soy', 'feedback': 'Satisfied'}","{'staff_interaction': 'Water man occur person.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 5}, 'privacy_setting': 'Profile Private'}"
Gabriela Gaines,58,Colontown,[],Vegetarian,"{'restaurant_name': 'Santana-Webb', 'meal_type': 'Dessert', 'menu_selection': 'President approach bed several player PM same.', 'special_requests': 'None', 'feedback': 'Neutral'}","{'staff_interaction': 'Light here store party clearly once perhaps.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 3}, 'privacy_setting': 'Profile Private'}"
Amanda Tyler,56,Wheelerton,[],Gluten Free,"{'restaurant_name': 'Griffin Inc', 'meal_type': 'Starter', 'menu_selection': 'Agency service parent.', 'special_requests': 'None', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Deep TV yet her.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 1}, 'privacy_setting': 'Profile Private'}"
Daniel Snyder,54,South Stacy,"['Wheat', 'Tree nuts']",Keto,"{'restaurant_name': 'Werner LLC', 'meal_type': 'Main Course', 'menu_selection': 'Explain order though determine camera show while.', 'special_requests': 'Wheat, Tree nuts', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Including seem myself order.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 4}, 'privacy_setting': 'Profile Private'}"
Joseph Taylor,29,Chavezburgh,['Wheat'],Low Fat,"{'restaurant_name': 'Price-Fox', 'meal_type': 'Main Course', 'menu_selection': 'Similar reduce certain win imagine.', 'special_requests': 'Wheat', 'feedback': 'Neutral'}","{'staff_interaction': 'Through much cell suffer.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 3}, 'privacy_setting': 'Profile Private'}"
Mr. Dale Kennedy,21,Port Valeriehaven,['Shellfish'],Vegan,"{'restaurant_name': 'Armstrong-Leonard', 'meal_type': 'Drink', 'menu_selection': 'Which chance foreign then show herself five.', 'special_requests': 'Shellfish', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Wide thought general project arrive.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 2}, 'privacy_setting': 'Some Details Public'}"
Sharon Wilson,31,New Shawn,[],Vegan,"{'restaurant_name': 'Wilkinson-Brown', 'meal_type': 'Main Course', 'menu_selection': 'Likely attack result near dog.', 'special_requests': 'None', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Seem keep look discuss money.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 4}, 'privacy_setting': 'Profile Private'}"
Kenneth Lopez,33,Cynthiaview,"['Egg', 'Milk']",Vegan,"{'restaurant_name': 'Reese, Chan and Ramirez', 'meal_type': 'Starter', 'menu_selection': 'National realize down marriage themselves draw.', 'special_requests': 'Egg, Milk', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Six property news statement conference call.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Some Details Public'}"
Evan Duran,49,Kellerville,"['Milk', 'Fish', 'Tree nuts']",Vegan,"{'restaurant_name': 'Sanchez LLC', 'meal_type': 'Drink', 'menu_selection': 'Despite to woman hard important.', 'special_requests': 'Milk, Fish, Tree nuts', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Market can second eat box seem.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 3}, 'privacy_setting': 'Profile Private'}"
Erika White,25,North Alejandrafort,[],Gluten Free,"{'restaurant_name': 'Morgan Inc', 'meal_type': 'Dessert', 'menu_selection': 'Skill recent career huge smile true.', 'special_requests': 'None', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Their old there mind particularly effort.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 2}, 'privacy_setting': 'Profile Public'}"
Karina Hoffman,58,Patriciaburgh,"['Tree nuts', 'Egg', 'Fish']",Vegetarian,"{'restaurant_name': 'Compton LLC', 'meal_type': 'Main Course', 'menu_selection': 'Discover argue staff office music.', 'special_requests': 'Tree nuts, Egg, Fish', 'feedback': 'Neutral'}","{'staff_interaction': 'Together must factor region hold green poor.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 1}, 'privacy_setting': 'Profile Private'}"
Teresa Martinez,22,West Scott,"['Milk', 'Soy']",Keto,"{'restaurant_name': 'Meza, Campbell and Hutchinson', 'meal_type': 'Dessert', 'menu_selection': 'Hotel per idea cause writer book voice.', 'special_requests': 'Milk, Soy', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Likely mother Republican new.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 3}, 'privacy_setting': 'Most Details Public'}"
Kaitlyn Reyes,52,West Melindafurt,"['Tree nuts', 'Peanuts', 'Fish']",Kosher,"{'restaurant_name': 'Walker, Peters and Wilson', 'meal_type': 'Starter', 'menu_selection': 'Interesting son section operation.', 'special_requests': 'Tree nuts, Peanuts, Fish', 'feedback': 'Neutral'}","{'staff_interaction': 'Anything let race production.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 4}, 'privacy_setting': 'Profile Public'}"
Andre Gonzales,21,Glassmouth,['Wheat'],Vegetarian,"{'restaurant_name': 'Wilson, Alexander and Wilson', 'meal_type': 'Dessert', 'menu_selection': 'Technology set include response.', 'special_requests': 'Wheat', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Computer Mrs somebody smile.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 3}, 'privacy_setting': 'Profile Public'}"
Alyssa Porter,25,Port Andrew,"['Peanuts', 'Fish']",Kosher,"{'restaurant_name': 'Baker-Owens', 'meal_type': 'Drink', 'menu_selection': 'Throw me despite could street fish opportunity.', 'special_requests': 'Peanuts, Fish', 'feedback': 'Neutral'}","{'staff_interaction': 'Form three more describe popular there cell certain.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 1}, 'privacy_setting': 'Some Details Public'}"
Robert Bowen,43,Hannahbury,[],Vegan,"{'restaurant_name': 'Castro, Pennington and Lopez', 'meal_type': 'Drink', 'menu_selection': 'Environmental property that stay customer.', 'special_requests': 'None', 'feedback': 'Satisfied'}","{'staff_interaction': 'Operation determine author entire partner space modern.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 4}, 'privacy_setting': 'Most Details Public'}"
Kara Wagner,21,West Calvinside,[],Vegetarian,"{'restaurant_name': 'Vazquez-Bryan', 'meal_type': 'Dessert', 'menu_selection': 'Both affect size attack close.', 'special_requests': 'None', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Low base avoid brother.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 3}, 'privacy_setting': 'Some Details Public'}"
Alexander Keller,33,Lewisborough,"['Peanuts', 'Tree nuts', 'Soy']",Kosher,"{'restaurant_name': 'Morris, Duke and Clark', 'meal_type': 'Drink', 'menu_selection': 'Help few drug section feeling us act.', 'special_requests': 'Peanuts, Tree nuts, Soy', 'feedback': 'Satisfied'}","{'staff_interaction': 'Under keep your industry size.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 5}, 'privacy_setting': 'Some Details Public'}"
Christopher Browning,59,Thompsonmouth,"['Soy', 'Egg', 'Shellfish']",Kosher,"{'restaurant_name': 'Potts-Bennett', 'meal_type': 'Drink', 'menu_selection': 'Experience top figure performance star.', 'special_requests': 'Soy, Egg, Shellfish', 'feedback': 'Satisfied'}","{'staff_interaction': 'Argue information memory glass.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 5}, 'privacy_setting': 'Most Details Public'}"
Kevin Martin,56,South Peterfort,['Shellfish'],Kosher,"{'restaurant_name': 'Williams, Gonzalez and Rivera', 'meal_type': 'Dessert', 'menu_selection': 'Natural participant TV peace oil.', 'special_requests': 'Shellfish', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Night especially subject point manage goal.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Some Details Public'}"
Dawn Morse,31,South Kim,"['Peanuts', 'Fish']",Kosher,"{'restaurant_name': 'Barrett, Lee and Murphy', 'meal_type': 'Dessert', 'menu_selection': 'Hit country base college knowledge under.', 'special_requests': 'Peanuts, Fish', 'feedback': 'Neutral'}","{'staff_interaction': 'Individual state industry benefit add resource.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 1}, 'privacy_setting': 'Profile Private'}"
William Proctor,47,Parkerbury,"['Tree nuts', 'Egg', 'Wheat']",Gluten Free,"{'restaurant_name': 'Simmons, Murray and Richard', 'meal_type': 'Starter', 'menu_selection': 'Appear anyone hospital throw final.', 'special_requests': 'Tree nuts, Egg, Wheat', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Left become final free.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 5}, 'privacy_setting': 'Profile Public'}"
Fred Smith,58,West Nicole,"['Peanuts', 'Egg']",Vegan,"{'restaurant_name': 'Harris Ltd', 'meal_type': 'Main Course', 'menu_selection': 'Mind Mrs nearly line.', 'special_requests': 'Peanuts, Egg', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Lawyer least leader people.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 4}, 'privacy_setting': 'Some Details Public'}"
Angela Rodriguez,41,Port Charles,['Soy'],Gluten Free,"{'restaurant_name': 'Williams-Fletcher', 'meal_type': 'Starter', 'menu_selection': 'Small major very wind between.', 'special_requests': 'Soy', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'Miss today pay west.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 4}, 'privacy_setting': 'Profile Private'}"
Michele Diaz,48,Lynnbury,['Soy'],Vegan,"{'restaurant_name': 'Espinoza, Wilcox and Sullivan', 'meal_type': 'Drink', 'menu_selection': 'Around position rock improve.', 'special_requests': 'Soy', 'feedback': 'Satisfied'}","{'staff_interaction': 'Indicate determine main book threat.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 2}, 'privacy_setting': 'Profile Private'}"
Anne Hughes,58,South Molly,['Peanuts'],Vegan,"{'restaurant_name': 'Simon, Jones and Garcia', 'meal_type': 'Drink', 'menu_selection': 'Radio card book field.', 'special_requests': 'Peanuts', 'feedback': 'Satisfied'}","{'staff_interaction': 'Physical you still smile seat focus reality.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 4}, 'privacy_setting': 'Profile Private'}"
Thomas Humphrey,19,Taylorville,[],Vegetarian,"{'restaurant_name': 'Salazar-Wang', 'meal_type': 'Drink', 'menu_selection': 'Possible job sport watch.', 'special_requests': 'None', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Picture involve both place night crime.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 2}, 'privacy_setting': 'Profile Private'}"
Robert Barnes,37,West Rebecca,[],Low Fat,"{'restaurant_name': 'Rodriguez, Andrews and Travis', 'meal_type': 'Dessert', 'menu_selection': 'Arm group economic economic.', 'special_requests': 'None', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Pass modern especially either huge true.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 1}, 'privacy_setting': 'Profile Private'}"
Rachel Johnston,44,Jacobchester,"['Wheat', 'Milk', 'Tree nuts']",Low Fat,"{'restaurant_name': 'Lewis, Baker and Green', 'meal_type': 'Main Course', 'menu_selection': 'Son as real so.', 'special_requests': 'Wheat, Milk, Tree nuts', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Test bed race trouble expect speak bar rich.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Most Details Public'}"
Danielle Riley,40,Port Jessica,"['Shellfish', 'Soy']",Gluten Free,"{'restaurant_name': 'Munoz-Cobb', 'meal_type': 'Drink', 'menu_selection': 'Prove environment player out money read.', 'special_requests': 'Shellfish, Soy', 'feedback': 'Neutral'}","{'staff_interaction': 'Wonder American somebody sport onto about.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 3}, 'privacy_setting': 'Profile Public'}"
Brandon Alvarez,53,Ballardfort,[],Vegan,"{'restaurant_name': 'Smith-Montes', 'meal_type': 'Drink', 'menu_selection': 'Series purpose school answer wide condition.', 'special_requests': 'None', 'feedback': 'Neutral'}","{'staff_interaction': 'Happy wait accept do threat final build.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 3}, 'privacy_setting': 'Profile Private'}"
Susan Torres,24,Timothytown,"['Tree nuts', 'Shellfish', 'Fish']",Halal,"{'restaurant_name': 'Harper, Dominguez and Smith', 'meal_type': 'Drink', 'menu_selection': 'Food guess in wind.', 'special_requests': 'Tree nuts, Shellfish, Fish', 'feedback': 'Satisfied'}","{'staff_interaction': 'Those region me dinner.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 4}, 'privacy_setting': 'Profile Public'}"
Andrew Douglas,52,Lake Michael,"['Fish', 'Egg', 'Wheat']",Low Fat,"{'restaurant_name': 'Lopez-Carlson', 'meal_type': 'Dessert', 'menu_selection': 'Central serious your early.', 'special_requests': 'Fish, Egg, Wheat', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Perhaps reason break part age.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 3}, 'privacy_setting': 'Profile Private'}"
Lynn Wheeler,57,Brianbury,['Wheat'],Kosher,"{'restaurant_name': 'King-Gould', 'meal_type': 'Drink', 'menu_selection': 'Challenge movie loss standard young sell hope.', 'special_requests': 'Wheat', 'feedback': 'Satisfied'}","{'staff_interaction': 'Face force make establish.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 4}, 'privacy_setting': 'Profile Private'}"
Diamond Harris,43,Harttown,"['Fish', 'Milk', 'Tree nuts']",Keto,"{'restaurant_name': 'Jones LLC', 'meal_type': 'Drink', 'menu_selection': 'Save something yet.', 'special_requests': 'Fish, Milk, Tree nuts', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'President soon forget foreign enjoy respond.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 4}, 'privacy_setting': 'Profile Public'}"
Jeff Tucker,46,Jessicaview,[],Low Fat,"{'restaurant_name': 'Dennis-Walker', 'meal_type': 'Drink', 'menu_selection': 'Draw last here get.', 'special_requests': 'None', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Instead Mr eight nearly bill.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 2}, 'privacy_setting': 'Profile Public'}"
Patrick Mcpherson,38,Mcmillanville,[],Gluten Free,"{'restaurant_name': 'Sheppard-Gibbs', 'meal_type': 'Drink', 'menu_selection': 'Rather story democratic guess evening around.', 'special_requests': 'None', 'feedback': 'Neutral'}","{'staff_interaction': 'Season recognize lead determine possible firm.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 2}, 'privacy_setting': 'Most Details Public'}"
Morgan Frye,20,Brandonhaven,[],Halal,"{'restaurant_name': 'Baxter PLC', 'meal_type': 'Drink', 'menu_selection': 'Everybody project fact skill.', 'special_requests': 'None', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Relate list several she.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 1}, 'privacy_setting': 'Some Details Public'}"
Kenneth Bryant,51,Beasleyberg,[],Vegetarian,"{'restaurant_name': 'Stanton-Guzman', 'meal_type': 'Dessert', 'menu_selection': 'Understand sort understand your.', 'special_requests': 'None', 'feedback': 'Very Unsatisfied'}","{'staff_interaction': 'Anyone spring concern others fine.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 4}, 'privacy_setting': 'Some Details Public'}"
Patrick Anderson,51,Jasonburgh,"['Soy', 'Peanuts', 'Egg']",Halal,"{'restaurant_name': 'Munoz, Wise and Carter', 'meal_type': 'Starter', 'menu_selection': 'Miss answer huge past easy.', 'special_requests': 'Soy, Peanuts, Egg', 'feedback': 'Very Satisfied'}","{'staff_interaction': 'Factor open animal pretty set.', 'survey_responses': {'dietary_compliance': 'No', 'experience_rating': 5}, 'privacy_setting': 'Some Details Public'}"
Tina Weaver,32,Baldwinview,['Peanuts'],Vegan,"{'restaurant_name': 'Munoz Group', 'meal_type': 'Drink', 'menu_selection': 'Feeling whether thousand significant easy parent move.', 'special_requests': 'Peanuts', 'feedback': 'Unsatisfied'}","{'staff_interaction': 'More green miss forget other idea also off.', 'survey_responses': {'dietary_compliance': 'Yes', 'experience_rating': 2}, 'privacy_setting': 'Profile Private'}"
